dataset,kernel,n_runs,successful_runs,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,accuracy_min,accuracy_max,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,time_mean,time_std,normality_pvalue,best_params
haberman,LINEAR,35,35,73.13394777265744,0.2814111980824061,73.03935673108576,73.22853881422911,72.52688172043011,73.5268817204301,62.16928521323076,0.21742651024846613,62.09620141198246,62.24236901447905,0.10366828573335495,0.0018026227890802703,6.168029481758683e-05,{'C': 0.4018442226364577}
haberman,POLY,35,35,73.99354838709678,0.9187503514817221,73.68472786650912,74.30236890768444,71.91397849462366,76.12903225806453,69.33605397367508,1.2206790248238202,68.92574585100763,69.74636209634252,0.2518702857262854,0.011025055844492815,0.7696727224084129,"{'C': 32.32981473121798, 'degree': 4, 'coef0': 1.2957229961225007}"
haberman,RBF,35,35,73.33118279569891,0.7120140279636675,73.09185277266617,73.57051281873164,72.19354838709677,74.81720430107528,68.0162579441657,0.8338674545875836,67.73596920086179,68.29654668746961,0.1362358943027045,0.0035261421323580424,0.13334813498185516,"{'C': 34.875277210290555, 'gamma': 0.3774282839172879}"
haberman,HERMITE,35,35,73.14254992319508,0.7983281295529912,72.87420705054124,73.41089279584891,71.24731182795698,74.19354838709677,67.04788027166609,0.9891009465370235,66.71541273167475,67.38034781165743,0.1576355857109385,0.0027084645712259405,0.0030648262545571276,"{'C': 50.71328712468957, 'degree': 3}"
haberman,GEGEN,35,35,74.62457757296467,0.5358518617151474,74.44446112389245,74.80469402203688,73.48387096774194,75.46236559139786,70.11379722826618,0.7649216861254796,69.85668329852771,70.37091115800465,0.1678112714085728,0.002106697291501494,0.028599730907760832,"{'C': 41.96988929750201, 'degree': 6, 'alpha': 0.07028897795911673}"
haberman,AL-SALAM,35,35,74.68540706605222,0.6315792193430806,74.47311367972011,74.89770045238433,72.9247311827957,75.48387096774192,68.70161194368323,0.7549647353925768,68.4478448542522,68.95537903311427,0.5555512228514999,0.0037754001056417145,0.003907956355010111,"{'C': 13.747143358130145, 'degree': 2, 'a': -1, 'q': 0.7403945618361523}"
ionosphere,LINEAR,35,35,87.46281179138323,0.9507862147668836,87.14322302242294,87.78240056034352,85.46031746031746,89.15873015873017,87.07531694430104,0.9846140841297888,86.7443575780831,87.40627631051898,0.3340932143053838,0.04138208922429752,0.39462485394911084,{'C': 40.05107631210456}
ionosphere,POLY,35,35,92.05986394557821,0.6065259054937346,91.85599175594325,92.26373613521318,90.88888888888889,93.15079365079364,91.77931999517831,0.6503770701808717,91.56070806750111,91.99793192285551,0.138923157112939,0.0012894943857328883,0.08707704105871071,"{'C': 56.12080159288129, 'degree': 2, 'coef0': 0.22305666431865262}"
ionosphere,RBF,35,35,94.96009070294784,0.5221456626133625,94.78458133297504,95.13560007292064,94.0079365079365,96.29365079365077,94.90711118875771,0.5272581952634617,94.72988333781565,95.08433903969977,0.16043026571028998,0.0008085772989348101,0.13407243641638994,"{'C': 7.50353194089625, 'gamma': 0.27287201960349505}"
ionosphere,HERMITE,35,35,87.50362811791383,0.5693219636690927,87.3122613283189,87.69499490750877,86.3015873015873,89.16666666666669,87.6997369312606,0.5605088679863055,87.51133249677373,87.88814136574747,0.7008364571324949,0.005191078765338843,0.13081477036346628,"{'C': 35.679085283125474, 'degree': 6}"
ionosphere,GEGEN,35,35,93.83786848072562,0.5321005543536257,93.65901296253675,94.01672399891449,92.87301587301589,94.88095238095238,93.69765225719343,0.5642675007736807,93.50798442952012,93.88732008486673,1.0557910657221719,0.007474370324888817,0.0610813155892199,"{'C': 24.440515553656994, 'degree': 4, 'alpha': 0.34217453301302037}"
ionosphere,AL-SALAM,35,35,94.17936507936508,0.7604133172547308,93.92376655239019,94.43496360633998,92.30952380952381,95.44444444444444,94.18265984654445,0.7488149833462174,93.93095987972772,94.43435981336118,5.515646802853527,0.01543532646920078,0.3959026341928198,"{'C': 46.21355908852574, 'degree': 3, 'a': -1, 'q': 0.2782414092765099}"
breast,LINEAR,35,35,96.7198270612593,0.16541703829603843,96.66422525844283,96.77542886407576,96.48124467178174,97.075873827792,96.72466700448706,0.16411931939587276,96.66950140528746,96.77983260368666,0.16420846856864435,0.0047530493662382945,0.01583015955651342,{'C': 5.086624888553387}
breast,POLY,35,35,91.98221897454634,0.15300458164725422,91.93078938381977,92.03364856527291,91.5068201193521,92.24424552429667,91.66925507763628,0.16468817848466244,91.61389826723371,91.72461188803885,0.44983335713456785,0.0029835041983431827,0.0018978553966964265,"{'C': 0.25549585398321195, 'degree': 6, 'coef0': 0.3427852165575925}"
