dataset,kernel,run,accuracy,f1_score,train_time,random_seed
haberman,LINEAR,0,73.20430107526882,62.1524034451606,0.11158020002767444,42
haberman,LINEAR,1,73.19354838709677,62.14721769080725,0.10417639999650419,43
haberman,LINEAR,2,73.20430107526882,62.1524034451606,0.10585399996489286,44
haberman,LINEAR,3,72.86021505376344,61.98130517195356,0.10352579993195832,45
haberman,LINEAR,4,72.86021505376344,61.98130517195355,0.10271929996088147,46
haberman,LINEAR,5,73.20430107526882,62.1524034451606,0.10355580016039312,47
haberman,LINEAR,6,73.20430107526882,62.1524034451606,0.10199510003440082,48
haberman,LINEAR,7,73.5268817204301,62.31313020966095,0.10275300010107458,49
haberman,LINEAR,8,72.54838709677419,61.82576416180655,0.10397870000451803,50
haberman,LINEAR,9,73.19354838709677,62.14721769080725,0.10224570007994771,51
haberman,LINEAR,10,72.53763440860214,61.81394190669906,0.10255379998125136,52
haberman,LINEAR,11,72.54838709677419,62.251609719569025,0.10281680012121797,53
haberman,LINEAR,12,73.5268817204301,62.31313020966095,0.10251769982278347,54
haberman,LINEAR,13,73.20430107526882,62.1524034451606,0.10216029989533126,55
haberman,LINEAR,14,73.19354838709677,62.14721769080725,0.10433869995176792,56
haberman,LINEAR,15,73.20430107526882,62.1524034451606,0.1015480998903513,57
haberman,LINEAR,16,72.87096774193549,61.9864909263069,0.10269690002314746,58
haberman,LINEAR,17,73.20430107526882,62.1524034451606,0.10278020007535815,59
haberman,LINEAR,18,73.5268817204301,62.31313020966095,0.10686219995841384,60
haberman,LINEAR,19,73.20430107526882,62.153478540575314,0.10361839993856847,61
haberman,LINEAR,20,73.20430107526882,62.1524034451606,0.10630219988524914,62
haberman,LINEAR,21,72.88172043010752,61.985494882025606,0.1029132001567632,63
haberman,LINEAR,22,73.19354838709677,62.14721769080725,0.10430560004897416,64
haberman,LINEAR,23,72.88172043010752,61.985494882025606,0.10245510004460812,65
haberman,LINEAR,24,73.5268817204301,62.846349790963295,0.1033616999629885,66
haberman,LINEAR,25,73.19354838709677,62.14721769080725,0.10286750015802681,67
haberman,LINEAR,26,72.52688172043011,61.7950768344647,0.10294480016455054,68
haberman,LINEAR,27,73.20430107526882,62.1524034451606,0.10322159994393587,69
haberman,LINEAR,28,73.20430107526882,62.1524034451606,0.10497600003145635,70
haberman,LINEAR,29,73.19354838709677,62.14721769080725,0.10194860002957284,71
haberman,LINEAR,30,73.5268817204301,62.31313020966095,0.10373670002445579,72
haberman,LINEAR,31,73.5268817204301,62.786983715772514,0.10418840008787811,73
haberman,LINEAR,32,73.20430107526882,62.572204187900006,0.10354060004465282,74
haberman,LINEAR,33,73.19354838709677,62.14721769080725,0.10291470005176961,75
haberman,LINEAR,34,73.20430107526882,62.1524034451606,0.10443620011210442,76
haberman,POLY,0,73.8494623655914,69.2031772443848,0.24557960010133684,42
haberman,POLY,1,74.23655913978496,69.65744316123823,0.24680980015546083,43
haberman,POLY,2,73.21505376344086,68.44800284420155,0.2561285998672247,44
haberman,POLY,3,73.16129032258065,68.54590517419695,0.23841429990716279,45
haberman,POLY,4,73.16129032258065,67.54771052909865,0.2445894000120461,46
haberman,POLY,5,74.15053763440861,69.46011597510649,0.24221830000169575,47
haberman,POLY,6,73.83870967741936,69.41675866737401,0.24240250000730157,48
haberman,POLY,7,73.55913978494624,69.22141526607122,0.25921440008096397,49
haberman,POLY,8,73.20430107526882,68.73417807168272,0.2513085000682622,50
haberman,POLY,9,73.51612903225806,68.54239013358558,0.24825490009970963,51
haberman,POLY,10,74.83870967741936,71.31813635808484,0.2520788998808712,52
haberman,POLY,11,74.47311827956989,69.87806432084828,0.2517667000647634,53
haberman,POLY,12,74.18279569892474,69.2992378262283,0.24374979990534484,54
haberman,POLY,13,75.7956989247312,71.59566480110387,0.24259390006773174,55
haberman,POLY,14,74.17204301075269,69.60090142758843,0.24873250001110137,56
haberman,POLY,15,71.91397849462366,66.59687762688115,0.2609000999946147,57
haberman,POLY,16,72.6021505376344,67.1770684057966,0.2515535999555141,58
haberman,POLY,17,73.52688172043011,68.76357696703795,0.2596543999388814,59
haberman,POLY,18,75.47311827956989,70.89507309478702,0.24632039992138743,60
haberman,POLY,19,73.8494623655914,69.30308267589588,0.23997290013357997,61
haberman,POLY,20,74.81720430107528,69.9260949076423,0.2616508000064641,62
haberman,POLY,21,74.51612903225808,70.50386001611469,0.26442000013776124,63
haberman,POLY,22,74.55913978494623,69.59541346034413,0.29134050011634827,64
haberman,POLY,23,72.88172043010752,68.27204073072689,0.2434173000510782,65
haberman,POLY,24,73.88172043010753,68.87365043314848,0.2598194999154657,66
haberman,POLY,25,74.48387096774194,70.04335459292854,0.25088130007497966,67
haberman,POLY,26,73.16129032258065,67.98474531336214,0.2440875000320375,68
haberman,POLY,27,75.48387096774194,70.96016639635778,0.25821979995816946,69
haberman,POLY,28,73.86021505376344,69.4605435857086,0.26853809994645417,70
haberman,POLY,29,76.12903225806453,71.70546028652834,0.2541797000449151,71
haberman,POLY,30,73.20430107526882,67.99921038210005,0.24559880001470447,72
haberman,POLY,31,73.89247311827957,69.6180396519518,0.24969179998151958,73
haberman,POLY,32,75.13978494623656,71.35686733104983,0.2738145999610424,74
haberman,POLY,33,74.15053763440861,69.46544202208023,0.2411442999728024,75
haberman,POLY,34,72.89247311827957,67.79221939739108,0.23641250003129244,76
haberman,RBF,0,74.48387096774194,69.3205875528646,0.14176380005665123,42
haberman,RBF,1,74.22580645161291,68.23925139206246,0.13652380020357668,43
haberman,RBF,2,73.21505376344086,68.24518108827658,0.13416030001826584,44
haberman,RBF,3,72.50537634408603,67.30257957940505,0.13380430010147393,45
haberman,RBF,4,73.17204301075269,67.33584716638799,0.13395799999125302,46
haberman,RBF,5,73.18279569892474,68.12895292091822,0.13248859997838736,47
haberman,RBF,6,72.84946236559139,67.60038847114501,0.13811910012736917,48
haberman,RBF,7,72.89247311827957,67.73751876976554,0.13652850012294948,49
haberman,RBF,8,73.5483870967742,68.36203337297134,0.14523310004733503,50
haberman,RBF,9,72.88172043010753,67.04282381835107,0.1396578000858426,51
haberman,RBF,10,73.86021505376344,69.1483442522256,0.14374900003895164,52
haberman,RBF,11,72.50537634408603,67.18777059709244,0.13268799986690283,53
haberman,RBF,12,72.88172043010752,67.85120474678038,0.1343106001149863,54
haberman,RBF,13,74.16129032258064,68.08010999536333,0.14580319984816015,55
haberman,RBF,14,73.51612903225806,67.7462405224965,0.1386595000512898,56
haberman,RBF,15,72.90322580645162,67.17056196493667,0.13574400008656085,57
haberman,RBF,16,72.26881720430107,67.15472675991198,0.14117800001986325,58
haberman,RBF,17,73.20430107526882,67.53612379216202,0.1342553999274969,59
haberman,RBF,18,74.17204301075269,68.96357477808277,0.13714120001532137,60
haberman,RBF,19,73.20430107526882,67.63092578775144,0.13405860005877912,61
haberman,RBF,20,73.51612903225806,68.34504056021062,0.13466329989023507,62
haberman,RBF,21,73.87096774193549,68.77064172705248,0.13406799989752471,63
haberman,RBF,22,73.56989247311829,67.89295064034665,0.13690100004896522,64
haberman,RBF,23,72.53763440860214,67.5604094661951,0.13296570000238717,65
haberman,RBF,24,72.23655913978494,66.70222984867287,0.13372689997777343,66
haberman,RBF,25,74.16129032258064,69.30201843034624,0.13332289992831647,67
haberman,RBF,26,74.16129032258064,69.17224423713645,0.13333630003035069,68
haberman,RBF,27,74.81720430107528,70.08550554956533,0.13401499995961785,69
