dataset,kernel,n_trials,accuracy_mean,accuracy_std,accuracy_median,accuracy_ci_lower,accuracy_ci_upper,accuracy_min,accuracy_max,f1_mean,f1_std,f1_median,support_vector_prop_mean,support_vector_prop_std,support_vector_prop_median,training_time_mean,training_time_std,training_time_median,optimization_time_mean,optimization_time_std,optimization_time_median,n_optimization_trials,cv_folds,optimization_method
ecoli,linear,10,0.8655971479500891,0.009199225395903442,0.8647058823529411,0.8586604500760717,0.8725338458241065,0.8513368983957218,0.8811942959001783,0.8572677683467929,0.00915701392673067,0.8553204810650432,0.37728214543308636,0.0304453004269654,0.37880466854632483,0.0019579830206930635,0.00044983448638417917,0.0017072250368073583,0.44722700002603233,0.02091843921330166,0.45044714980758727,10,10,bayesian
ecoli,poly,10,0.8756773618538324,0.005839041381092776,0.8779411764705882,0.8712744187590189,0.8800803049486459,0.8662210338680927,0.8841354723707664,0.8668108214164885,0.006867009068087346,0.8691658957051627,0.3983807619172513,0.04360373887871124,0.39021484929949946,0.0027874080045148736,0.0013611422096715367,0.001803535083308816,0.5857359601184726,0.04275605984104863,0.5865807002410293,10,10,bayesian
ecoli,rbf,10,0.8682709447415329,0.006490469988115058,0.8674688057040998,0.8633767903502315,0.8731650991328342,0.8600713012477719,0.8785204991087344,0.859499285631232,0.007290266338741373,0.8604020115242061,0.4681529080060325,0.05332239452752538,0.45088846633007673,0.002733789994381368,0.00017824016737004924,0.002731339982710779,0.5282224799506366,0.01042005981285077,0.5297453498933464,10,10,bayesian
ecoli,custom_hermite,10,0.8706149732620322,0.0033590309363058786,0.8691176470588236,0.8680820879644279,0.8731478585596365,0.8662210338680927,0.8781639928698752,0.8629966694956425,0.0050586258285368535,0.8623783876363393,0.4677228815596791,0.03767689008741334,0.460814044980657,0.004198770010843874,0.0008447684458792356,0.0041293800109997395,0.7857810999732464,0.03366693582214298,0.782715949928388,10,10,bayesian
ecoli,custom_gegen,10,0.8721568627450982,0.004822924657062911,0.8718805704099821,0.868520124892138,0.8757936005980583,0.8631907308377895,0.8811051693404635,0.8632531077094209,0.004258875424433186,0.8629092079594567,0.42311531484274256,0.06523272316895029,0.39136231503945096,0.006136290989816189,0.0013777458384373656,0.0059980550082400445,1.8995265800040215,0.2764261289590453,1.8370837001129985,10,10,bayesian
ecoli,custom_alsalam,10,0.8662210338680927,0.00983555098797026,0.8704545454545454,0.8588045131620748,0.8736375545741105,0.8393048128342245,0.8724598930481283,0.8592948710230015,0.01045237477444961,0.8622129903458179,0.4501630494175245,0.029365480777083525,0.43832480930212225,0.005244123986922204,0.0006235047792804207,0.005139914900064468,0.8679135399870574,0.04030723586295472,0.8701154999434948,10,10,bayesian
glass,linear,10,0.6611038961038961,0.009591968812874893,0.6610389610389611,0.6538710491185901,0.6683367430892021,0.6448051948051947,0.6816017316017315,0.6293137781876523,0.009901375567822545,0.6281455916722392,0.7334377698618307,0.012384005578532541,0.7388250215889465,0.0017988070053979754,0.00024120131701439588,0.0017332600196823477,0.4352241900283843,0.014088224295563306,0.4365767501294613,10,10,bayesian
glass,poly,10,0.7131385281385281,0.010370676289749428,0.7107142857142859,0.7053184949210288,0.7209585613560273,0.7004329004329004,0.7331168831168832,0.6985428861054459,0.01203735224258145,0.6980083960546145,0.6530640112262521,0.013944427478795004,0.657591213298791,0.0030265270080417394,0.0003513046115778435,0.002917869971133769,0.4431346201337874,0.015465948426458036,0.4459198000840843,10,10,bayesian
glass,rbf,10,0.7178138528138528,0.012257295015028277,0.7148268398268398,0.7085712102420321,0.7270564953856735,0.7010822510822511,0.7389610389610389,0.7018226470638669,0.015082282330384328,0.6977939041466845,0.7112710492227978,0.044317169705006716,0.6817249568221071,0.001889764009974897,8.902580838410424e-05,0.0019176800269633532,0.4023596100509167,0.009195278363353985,0.40052955015562475,10,10,bayesian
glass,custom_hermite,10,0.704090909090909,0.009178331456897672,0.7076839826839827,0.6971699663414856,0.7110118518403323,0.6872294372294372,0.7188311688311687,0.6653332979089333,0.010523625952899606,0.6701135391383068,0.7971003346286701,0.02440443641915026,0.7988180051813472,0.002476492039859295,0.0001375679202687264,0.002499350090511143,0.4876876299735159,0.0069551875177063785,0.48939809994772077,10,10,bayesian
glass,custom_gegen,10,0.717034632034632,0.015158949938413343,0.7151515151515152,0.7056039896397892,0.7284652744294748,0.6956709956709956,0.7385281385281385,0.6969522936457719,0.024330957120132782,0.6976423215587303,0.6576878238341969,0.05949186907746912,0.6350010794473229,0.003769208970479667,0.0006227368950369579,0.003797704936005175,1.0350436700508,0.13295821190928558,1.0126587497070432,10,10,bayesian
glass,custom_alsalam,10,0.7195238095238096,0.02418801872819092,0.720021645021645,0.7012847762500675,0.7377628427975517,0.6673160173160173,0.7515151515151516,0.7060583183156713,0.026077694585310243,0.7075259964125511,0.6290320056131262,0.025429008354783827,0.6168366796200345,0.003281776010990142,0.0005429572328160524,0.0033186349552124738,0.594629230024293,0.0303005573191878,0.5930947500746697,10,10,bayesian
SPECTF,linear,10,0.7996581196581196,0.01086497782413607,0.7993589743589744,0.7914653571884128,0.8078508821278264,0.782905982905983,0.8166666666666667,0.7929931883942902,0.010055490523606889,0.7922838181845022,0.3735347510373444,0.028830414294317392,0.3778622060857538,0.002861316986382008,0.0016040140063056172,0.0021393200382590293,0.7238401000853628,0.04273671475207519,0.747262550285086,10,10,bayesian
SPECTF,poly,10,0.811923076923077,0.009555219598359697,0.8107549857549858,0.8047179407707192,0.8191282130754347,0.7941595441595442,0.8280626780626781,0.7945344923147327,0.03181879913601754,0.8001086207518651,0.4202256224066391,0.01343119646409317,0.41885027662517293,0.0018037460511550307,0.0008396779443614749,0.0013927299994975328,0.49280297993682326,0.030817963778443633,0.5041934000328183,10,10,bayesian
SPECTF,rbf,10,0.79497150997151,0.004035665583234298,0.7941595441595442,0.7919284067028443,0.7980146132401758,0.79002849002849,0.8054131054131053,0.7356294280118723,0.03553589258806956,0.7156713628231403,0.8786514522821577,0.21019674030389987,1.0,0.0019310849811881782,7.129447699565043e-05,0.001935885031707585,0.4292106400243938,0.013529727854379718,0.4251145999878645,10,10,bayesian
SPECTF,custom_hermite,10,0.7941595441595443,1.1102230246251565e-16,0.7941595441595442,0.7941595441595442,0.7941595441595444,0.7941595441595442,0.7941595441595442,0.7031421452014157,0.0,0.7031421452014157,0.4992871715076072,0.04812058499716431,0.5033272821576763,0.011329477028921248,0.003908372408194276,0.013813500013202428,1.6314426199533045,0.13793905633031087,1.6131860499735922,10,10,bayesian
SPECTF,custom_gegen,10,0.8056125356125357,0.0070776937796889995,0.8066239316239316,0.8002755837191319,0.8109494875059394,0.7941595441595442,0.8160968660968662,0.7794532061034719,0.03596422789389064,0.7970536936065276,0.5657078146611342,0.18522572919148195,0.4764859958506224,0.04088675901293755,0.03387313501124593,0.02047089997213334,7.19341543004848,1.579145348560456,6.892711699940264,10,10,bayesian
SPECTF,custom_alsalam,10,0.7953276353276353,0.004258187175101342,0.7941595441595442,0.7921167391213256,0.7985385315339449,0.7874643874643875,0.8054131054131053,0.7436485655258034,0.0407599866176325,0.7394516815341479,0.5452340940525587,0.17256905277803936,0.44757174965421853,0.007877445975318552,0.0035393802073821427,0.005612780037336051,1.376866629952565,0.11277076291921037,1.3679412498604506,10,10,bayesian
student,linear,10,0.24595238095238092,0.021117584638219895,0.2471428571428571,0.2300286158352053,0.26187614606955656,0.20999999999999996,0.2833333333333333,0.22171006665292378,0.01922522798487859,0.22684772899058614,0.9746341749853199,0.003472707158426605,0.9758778625954199,0.004141338006593287,0.0005250761830553687,0.00422904493752867,0.6715133799705655,0.017296328428032796,0.662503750063479,10,10,bayesian
student,poly,10,0.2835238095238095,0.021341835040654168,0.2873809523809524,0.267430947855254,0.299616671192365,0.24904761904761905,0.3176190476190476,0.25289659414659416,0.019257803495890798,0.25986130007558583,0.9956318261890782,0.004114472810019118,0.998082795067528,0.002089087008498609,0.0001736095578765162,0.0021326449466869237,0.4337803800124675,0.012250191489518503,0.4348482000641525,10,10,bayesian
student,rbf,10,0.25023809523809526,0.011844131319434889,0.24714285714285714,0.24130699973741385,0.25916919073877664,0.24047619047619045,0.2752380952380952,0.11811654049834057,0.028109600866675515,0.10912772126394417,1.0,0.0,1.0,0.001729178037494421,6.935587497433603e-05,0.0017467800760641694,0.38657239014282824,0.0024660817925210073,0.38704645028337836,10,10,bayesian
student,custom_hermite,10,0.24047619047619045,0.0,0.24047619047619045,,,0.24047619047619045,0.24047619047619045,0.09395547692761315,1.3877787807814457e-17,0.09395547692761314,0.9960199647680563,0.002018424148589517,0.9961714621256608,0.0035636090161278848,0.00060859276995702,0.0037075950065627696,0.7237663299776613,0.033008175154348986,0.7268618000671268,10,10,bayesian
student,custom_gegen,10,0.28028571428571425,0.02869117762430445,0.2904761904761905,0.2586510632945344,0.3019203652768941,0.24047619047619045,0.3242857142857143,0.21321753508257268,0.06253321205443788,0.24866975352689638,0.9901162654139753,0.02089315415440223,0.9992337052260717,0.005723389978520571,0.0021590388004392607,0.005220010038465261,1.2723762500565499,0.15488939368217092,1.2339631500653923,10,10,bayesian
student,custom_alsalam,10,0.24899999999999997,0.007623361873773525,0.2509523809523809,0.24325158577740477,0.2547484142225952,0.24047619047619045,0.261904761904762,0.11944821957122928,0.02091915074295557,0.13182120902792066,0.9878191426893718,0.024625928295501445,1.0,0.0034265869623050097,0.0005037982736992947,0.0032127049285918473,0.7640567200724036,0.03702513079248877,0.7617460500914603,10,10,bayesian
parkinson,linear,10,0.8932631578947369,0.004099185784972748,0.8942105263157895,0.8901721570662883,0.8963541587231855,0.8871052631578948,0.8973684210526315,0.8853220637070173,0.0050490458583850265,0.8853482036412448,0.31299642857142856,0.007498298346622183,0.31311201298701297,0.00307633800432086,0.0007208188088577268,0.003115359996445477,0.49265363002195955,0.019182209911311136,0.4937903501559049,10,10,bayesian
parkinson,poly,10,0.9225263157894737,0.006661794156609858,0.9227631578947368,0.9175029739998622,0.9275496575790853,0.9128947368421054,0.9339473684210526,0.9216637262645365,0.00802533572431159,0.9225350920198541,0.266038961038961,0.02077356817393228,0.26525324675324674,0.002538778018206358,0.00022975931692213,0.0025493750348687173,0.3914664799813181,0.016650528957708962,0.39406209997832775,10,10,bayesian
parkinson,rbf,10,0.9550000000000001,0.006261830907633111,0.9542105263157895,0.950278251453239,0.9597217485467612,0.9389473684210528,0.9639473684210527,0.9544400381667156,0.006080865774527021,0.9537025793518388,0.547125,0.07648799722252947,0.5287743506493505,0.001238680984824896,2.5241955822181885e-05,0.001241705007851124,0.33347804001532494,0.005164676355504492,0.3318283499684185,10,10,bayesian
parkinson,custom_hermite,10,0.7812105263157895,0.02513900413870588,0.7744736842105262,0.7622544002226587,0.8001666524089203,0.7589473684210526,0.836578947368421,0.7003732360458461,0.04525994799469957,0.6886755240373661,0.5398831168831169,0.009624306569505955,0.5373165584415585,0.0036539690103381873,0.00017997546842204328,0.0036724950419738892,0.6497768600005657,0.021414498286810937,0.6502308999188244,10,10,bayesian
parkinson,custom_gegen,10,0.9456315789473685,0.00687965405301727,0.9436842105263159,0.9404439593827048,0.9508191985120322,0.9326315789473683,0.9547368421052631,0.9452819491197039,0.007040749252622501,0.9432250894767269,0.32911233766233766,0.06880956212882726,0.3079886363636364,0.004789214008487762,0.00031846480634966517,0.00492123500443995,1.8910594698973,0.35074176378740746,1.7998694002162665,10,10,bayesian
parkinson,custom_alsalam,10,0.9502894736842105,0.005550635710142015,0.9488157894736844,0.94610400357418,0.9544749437942409,0.9434210526315789,0.9589473684210527,0.9501698332055565,0.005148164156972849,0.9485215912642586,0.42376233766233773,0.02934826338566603,0.4185227272727273,0.003219938008114696,0.00043021064630262523,0.003364685061387718,0.6486901300959289,0.025992614647908495,0.6551635502837598,10,10,bayesian
vertebral,linear,10,0.8670967741935482,0.007037878783635961,0.8661290322580646,0.8617898448929813,0.8724037034941152,0.8548387096774193,0.8806451612903226,0.8662197517718461,0.007351919534245885,0.8673829070214484,0.3810752688172043,0.04461546469421399,0.3657706093189964,0.0019660159619525074,0.00041324514991495303,0.001834899955429137,0.39910009000450375,0.011860814845766472,0.3977668001316488,10,10,bayesian
vertebral,poly,10,0.8606451612903226,0.004516129032258078,0.8596774193548387,0.8572397634107574,0.8640505591698879,0.8548387096774194,0.867741935483871,0.8602900685733557,0.00512830644354336,0.8596578344093737,0.40408602150537637,0.032367079830979265,0.40448028673835124,0.0020995080145075917,0.0008724844399118891,0.001673530018888414,0.5093658498954028,0.034990968264098726,0.5121290499810129,10,10,bayesian
vertebral,rbf,10,0.8419354838709676,0.006918584061137814,0.8403225806451613,0.8367185090407305,0.8471524587012047,0.832258064516129,0.8548387096774193,0.8417808858611127,0.00730010421253358,0.8416608172603948,0.41401433691756273,0.029614260186913505,0.4172043010752688,0.0022242760285735128,0.00024248445866239922,0.0021289050579071044,0.4796709499787539,0.013929549023954517,0.4798014999832958,10,10,bayesian
vertebral,custom_hermite,10,0.8525806451612903,0.0047955060475221075,0.8532258064516128,0.8489645823763196,0.856196707946261,0.8451612903225806,0.8612903225806452,0.8541043868892209,0.00485010122972452,0.854669136282533,0.446810035842294,0.015212678867808532,0.4449820788530466,0.0034200879838317635,0.0005115498012755127,0.0034360000398010017,0.6075724600348622,0.019677279285780246,0.6010851000901312,10,10,bayesian
vertebral,custom_gegen,10,0.8564516129032258,0.009704263842897659,0.8596774193548387,0.8491340895824134,0.8637691362240382,0.8354838709677418,0.867741935483871,0.8558953819328284,0.009384540646460396,0.8585035864133683,0.4237992831541219,0.0329067395692158,0.4220430107526882,0.00556443699169904,0.00426644021917292,0.003872089996002614,1.5709419901482762,0.2540980556905085,1.4974186499603093,10,10,bayesian
vertebral,custom_alsalam,10,0.8412903225806451,0.009326988577290939,0.8419354838709676,0.8342572845746528,0.8483233605866374,0.8193548387096774,0.8548387096774193,0.8415157436892244,0.010103543261517784,0.8413756481523741,0.4032258064516128,0.03286408053978097,0.4017921146953405,0.0038430870138108733,0.0006324984268722473,0.0038507300661876796,0.7074529199395329,0.044434574845103554,0.7076481499243528,10,10,bayesian
fertility,linear,10,0.8800000000000001,0.0,0.8800000000000001,,,0.8800000000000001,0.8800000000000001,0.8243274853801168,0.0,0.8243274853801168,0.5057777777777778,0.039248496078760076,0.5272222222222223,0.0011226769862696527,0.000271603929899368,0.0010818549897521734,0.29114319002255795,0.008642129884234613,0.2891433499753475,10,10,bayesian
fertility,poly,10,0.874,0.012806248474865719,0.8800000000000001,0.8643434177610977,0.8836565822389023,0.8400000000000001,0.8800000000000001,0.826813983488132,0.005386951241409211,0.8243274853801168,0.4253333333333333,0.045296826258975395,0.4455555555555555,0.0007402780279517174,5.219285900894087e-05,0.0007340749958530068,0.26624781992286445,0.005682731203965388,0.2648527498822659,10,10,bayesian
fertility,rbf,10,0.8880000000000001,0.009797958971132798,0.89,0.880611825644034,0.8953881743559663,0.8699999999999999,0.9000000000000001,0.8446941864465083,0.013191807492484449,0.8499277605779153,0.96,0.0057948465824024025,0.9577777777777777,0.0008485989877954125,2.189249919629754e-05,0.0008475400507450103,0.2729925299994648,0.005661940100165152,0.2721527998801321,10,10,bayesian
fertility,custom_hermite,10,0.881,0.003000000000000036,0.8800000000000001,0.8787378428371458,0.8832621571628542,0.8800000000000001,0.8900000000000002,0.8267485380116957,0.0072631578947368715,0.8243274853801168,0.3893333333333333,0.03396512372463302,0.3827777777777778,0.0012025229958817362,0.00016146956344803223,0.0011855149874463677,0.3431513100396842,0.007917276392873929,0.34450970008037984,10,10,bayesian
fertility,custom_gegen,10,0.881,0.0029999999999999693,0.8800000000000001,0.878737842837146,0.8832621571628541,0.8800000000000001,0.89,0.8267519779841759,0.007273477812177543,0.8243274853801168,0.33811111111111114,0.17731262062272604,0.24,0.0016712879948318003,0.00040608972156845456,0.0018663450377061964,0.3731767199933529,0.016507944788735237,0.3717328002676368,10,10,bayesian
fertility,custom_alsalam,10,0.882,0.00748331477354791,0.8800000000000001,0.876357188627709,0.8876428113722911,0.8699999999999999,0.9,0.8331200550395597,0.014301601914059622,0.8243274853801168,0.3931111111111112,0.19869686571369075,0.27444444444444444,0.0013114829966798425,0.00019483493699466435,0.0012271849205717444,0.36805599988438187,0.009781391550872367,0.36778749991208315,10,10,bayesian
cervical,linear,10,0.9085714285714287,0.0062779985111596414,0.9053571428571429,0.9038374888046263,0.9133053683382311,0.9017857142857142,0.9178571428571429,0.9028545621045619,0.00570893275056369,0.9016536241536242,0.21173557692307696,0.0052879239237225255,0.21066105769230772,0.0006596009898930787,1.997485006505161e-05,0.0006530450424179435,0.24613639991730452,0.00511307708687325,0.24431434995494783,10,10,bayesian
cervical,poly,10,0.9282142857142859,0.0138274719161471,0.9241071428571429,0.9177876475011939,0.9386409239273779,0.9142857142857144,0.9589285714285716,0.9239325674325674,0.015093756397782737,0.9209541847041847,0.2794615384615385,0.033774334792020556,0.28390625,0.0006616910081356764,3.6265549900348875e-05,0.0006404200103133917,0.25563199003227055,0.0061296056752464904,0.25332899997010827,10,10,bayesian
cervical,rbf,10,0.8382142857142858,0.07335439555295083,0.875,0.7829012286053056,0.893527342823266,0.7089285714285716,0.9035714285714287,0.8040158175158176,0.11578706541277368,0.8695811133311133,0.8330216346153847,0.1433730175709185,0.8695673076923076,0.0007507149735465646,2.6276845553897587e-05,0.0007429399760439992,0.2698233200237155,0.0020804019139954435,0.2690475501585752,10,10,bayesian
cervical,custom_hermite,10,0.7101785714285714,0.003749999999999954,0.7089285714285716,0.7073508749750038,0.713006267882139,0.7089285714285716,0.7214285714285714,0.5924025974025973,0.011548451548451544,0.5885531135531135,0.730235576923077,0.04866498737025462,0.7191225961538461,0.0016199500020593408,0.0003515144933825846,0.0016351949656382204,0.4349248799495399,0.017301020753961855,0.4395703498739749,10,10,bayesian
cervical,custom_gegen,10,0.9141071428571429,0.010991938140366026,0.9169642857142858,0.9058186456578502,0.9223956400564356,0.8875,0.9321428571428572,0.9099690864690864,0.0103816397545889,0.9132842157842158,0.49538701923076933,0.17484214121521385,0.4491466346153847,0.0011296619940549134,7.0837690893029e-05,0.0011029800167307257,0.43159171999432144,0.024578946682806135,0.43049314990639687,10,10,bayesian
cervical,custom_alsalam,10,0.7825,0.04102326368373566,0.7982142857142857,0.751566310071395,0.813433689928605,0.7232142857142857,0.8232142857142858,0.7231766566766566,0.06317682867153906,0.7538091075591076,0.7875072115384615,0.13601061679230683,0.7422836538461539,0.001336934957653284,0.00011352476380652147,0.0012675949605181814,0.4650867300108075,0.01719985193974179,0.4645949499681592,10,10,bayesian
mines,linear,10,0.5205614973262032,0.008325494134698217,0.5208556149732622,0.514283638595834,0.5268393560565723,0.5060606060606061,0.5353832442067736,0.47329901043086997,0.00834863213377942,0.4712280107485588,0.7858318593615186,0.009369555003236352,0.781723468507334,0.004259054004214704,0.0017751350249496068,0.0039830549852922555,0.7842728699091822,0.049760828499908795,0.7847904998343438,10,10,bayesian
mines,poly,10,0.6160338680926917,0.020698958004187838,0.6169340463458111,0.6004257693884284,0.631641966796955,0.5888591800356506,0.6485739750445634,0.6053545683477556,0.01837020440842427,0.6076868019310094,0.7115713977566868,0.01451499152052756,0.7059480155306299,0.0169730579899624,0.0020273697522233307,0.01789003999438137,1.268340259976685,0.10859258742604723,1.2706607501022518,10,10,bayesian
mines,rbf,10,0.6384491978609627,0.016266278402455092,0.6331550802139039,0.6261835717939318,0.6507148239279935,0.6181818181818182,0.6717468805704101,0.6286817458428896,0.01676849227269894,0.6269357249343508,0.8077874245038826,0.03395901367050382,0.8073560181190682,0.006822105012834072,0.0006408416780670635,0.00695589508395642,0.8546342399902642,0.04769110853218238,0.8631422999314964,10,10,bayesian
mines,custom_hermite,10,0.5459358288770053,0.01225269466428518,0.5459447415329768,0.5366966552106464,0.5551750025433643,0.5207664884135472,0.5620320855614973,0.5094136364846349,0.013940175052997406,0.5095941620537343,0.8034849007765315,0.007938533630785234,0.8045691328731664,0.004947476983070373,0.0005525301265335096,0.004740719962865114,0.7045837300363929,0.020854151471026823,0.7006059000268579,10,10,bayesian
