dataset,kernel,trial,optimization_time,training_time,best_accuracy,best_f1_score,support_vector_prop,best_params,random_seed,n_optimization_trials,cv_folds
ecoli,rbf,0,0.42354280035942793,0.002325379988178611,0.875222816399287,0.8671567864536431,0.43915153104714444,"{'C': 3.90130999242047, 'gamma': 0.6371656669645575}",42,8,10
ecoli,rbf,1,0.42656700033694506,0.0030010299291461707,0.8810160427807487,0.8672754999307459,0.5482733372675016,"{'C': 0.7263165967845856, 'gamma': 2.9391533679917523}",43,8,10
ecoli,rbf,2,0.42841439973562956,0.002461020043119788,0.8785204991087344,0.8710326489819392,0.41335759403754946,"{'C': 10.691860375019163, 'gamma': 0.46770693414988207}",44,8,10
ecoli,rbf,3,0.4147192998789251,0.002291190018877387,0.8780748663101605,0.8708384512330205,0.41865888575612525,"{'C': 7.036901101574616, 'gamma': 0.3235756148467037}",45,8,10
ecoli,rbf,4,0.42657440016046166,0.0029685300309211017,0.8719251336898395,0.8643847045070304,0.5406803925425654,"{'C': 6.226828244802206, 'gamma': 3.0360835232141175}",46,8,10
ecoli,rbf,5,0.42220869986340404,0.0024849200155586003,0.8748663101604277,0.8643210737947392,0.4619642427818941,"{'C': 2.469050145265414, 'gamma': 1.2126764221426334}",47,8,10
ecoli,custom_hermite,0,0.7282580002211034,0.005874380096793174,0.8692513368983956,0.8622814435569669,0.4669311301991127,"{'C': 15.028274178568475, 'degree': 5}",42,8,10
ecoli,custom_hermite,1,0.729243699926883,0.005776310013607145,0.8662210338680927,0.8552388275662757,0.4785052346294232,"{'C': 8.179149256222683, 'degree': 6}",43,8,10
ecoli,custom_hermite,2,0.6765006999485195,0.005072619998827577,0.8665775401069519,0.8623510714366492,0.4986711253906847,"{'C': 18.616267401506267, 'degree': 3}",44,8,10
ecoli,custom_hermite,3,0.6534886001609266,0.005699689965695143,0.869073083778966,0.8625612588604626,0.4590005026992766,"{'C': 24.725298825376527, 'degree': 4}",45,8,10
ecoli,custom_hermite,4,0.7701743999496102,0.009821279952302576,0.8631016042780748,0.8563345325484051,0.4755327519506918,"{'C': 22.818144526090006, 'degree': 3}",46,8,10
