dataset,kernel,trial,optimization_time,training_time,best_accuracy,best_f1_score,support_vector_prop,best_params,random_seed,n_optimization_trials,cv_folds
ecoli,linear,0,0.46583630004897714,0.0017165801022201777,0.8811942959001783,0.8737974400556624,0.38161541319694886,{'C': 5.809303133207778},42,10,10
ecoli,linear,1,0.4203678001649678,0.0015901000704616308,0.8719251336898395,0.8622660145831039,0.41302756103424915,{'C': 2.9023534286116157},43,10,10
ecoli,linear,2,0.44222399964928627,0.0022318999748677016,0.8725490196078433,0.8653968430788621,0.3442353506873866,{'C': 36.05072312479231},44,10,10
ecoli,linear,3,0.41710809990763664,0.0016978699713945389,0.8631907308377895,0.8548933091054419,0.3759939238957008,{'C': 7.729879318351191},45,10,10
ecoli,linear,4,0.47507060039788485,0.0016467700712382793,0.8628342245989306,0.8557476530246445,0.3912158765545429,{'C': 4.287501969778039},46,10,10
ecoli,linear,5,0.45867029996588826,0.0024558000266551973,0.8570409982174688,0.8486063454043927,0.3488634625051909,{'C': 35.14742912146425},47,10,10
ecoli,linear,6,0.4329852000810206,0.0015283100306987762,0.8754010695187165,0.8662318399964224,0.4384914650405438,{'C': 1.7500096028443315},48,10,10
ecoli,linear,7,0.46476650005206466,0.0029951299540698527,0.8513368983957218,0.8415317672345293,0.33962581688632437,{'C': 92.6335871707825},49,10,10
ecoli,linear,8,0.46951720025390387,0.0020354900043457747,0.8542780748663101,0.8498756238924161,0.3525145892072651,{'C': 22.809082361829173},50,10,10
ecoli,linear,9,0.42572399973869324,0.0016818800009787082,0.8662210338680927,0.8543308470924519,0.3872379953227111,{'C': 4.472173508112401},51,10,10
ecoli,poly,0,0.5156125002540648,0.0018058901187032461,0.8841354723707664,0.876552772958054,0.38359998251480776,"{'C': 13.95024657134353, 'degree': 2, 'gamma': 1.475347969373303}",42,10,10
ecoli,poly,1,0.596040999982506,0.0017230299301445485,0.8778966131907309,0.8685341774956518,0.40244355561383954,"{'C': 25.44285816486207, 'degree': 1, 'gamma': 3.468678178582751}",43,10,10
ecoli,poly,2,0.6337481997907162,0.004249879950657487,0.8785204991087344,0.8704438214046855,0.35349922409459494,"{'C': 39.37856132927404, 'degree': 3, 'gamma': 2.047267413208588}",44,10,10
ecoli,poly,3,0.5890109003521502,0.0015317000448703765,0.8810160427807487,0.8741825239851881,0.5125631106156974,"{'C': 4.853151568643681, 'degree': 1, 'gamma': 0.4776161161246224}",45,10,10
ecoli,poly,4,0.5841505001299083,0.0037672900594770907,0.8719251336898395,0.862842998339804,0.39981203418355077,"{'C': 4.287501969778039, 'degree': 3, 'gamma': 3.652252873960553}",46,10,10
ecoli,poly,5,0.5731087001040578,0.0016697699669748546,0.8689839572192513,0.8619753594685993,0.3968297160841912,"{'C': 9.873496758926203, 'degree': 2, 'gamma': 2.569034341275915}",47,10,10
ecoli,poly,6,0.6315551004372537,0.004717819998040796,0.8811051693404635,0.87141738392436,0.36242650755141737,"{'C': 29.89833876951833, 'degree': 5, 'gamma': 1.308437536827318}",48,10,10
ecoli,poly,7,0.642829000018537,0.004927570000290871,0.8689839572192513,0.8585131307697145,0.3631029659257316,"{'C': 44.22183607663652, 'degree': 5, 'gamma': 3.381749733807492}",49,10,10
ecoli,poly,8,0.5788706000894308,0.0016799499280750751,0.8779857397504456,0.8697976139146736,0.4282462352195484,"{'C': 5.641107515510172, 'degree': 2, 'gamma': 3.7048899841838416}",50,10,10
ecoli,poly,9,0.5124331000261009,0.0018011800479143859,0.8662210338680927,0.8538484319041544,0.3812842873691343,"{'C': 44.54160488284843, 'degree': 1, 'gamma': 3.0223873424901875}",51,10,10
ecoli,rbf,0,0.5467675998806953,0.002918259985744953,0.8750445632798574,0.8640724305454558,0.5489443315192446,"{'C': 2.059428845085949, 'gamma': 3.880109567207946}",42,10,10
ecoli,rbf,1,0.5306230001151562,0.0028457199689000843,0.866131907308378,0.8545240578404216,0.5294243000458987,"{'C': 2.9023534286116157, 'gamma': 2.9391533679917523}",43,10,10
ecoli,rbf,2,0.5328179001808167,0.002648570016026497,0.8785204991087344,0.8731189469642897,0.41797914890826837,"{'C': 42.76572445463983, 'gamma': 0.46770693414988207}",44,10,10
ecoli,rbf,3,0.528813200071454,0.002334460010752082,0.8721925133689838,0.8635834047791814,0.43419557187506835,"{'C': 4.853151568643681, 'gamma': 0.6663708483298129}",45,10,10
ecoli,rbf,4,0.5288676996715367,0.0025954298675060273,0.8688057040998217,0.8615776253563994,0.4857779817716871,"{'C': 4.287501969778039, 'gamma': 1.7722052636656271}",46,10,10
ecoli,rbf,5,0.5177837996743619,0.002709950041025877,0.866131907308378,0.8592263976920129,0.45204139619259937,"{'C': 27.092809416673624, 'gamma': 1.1055423805836644}",47,10,10
ecoli,rbf,6,0.5195681001059711,0.002947760047391057,0.8753119429590017,0.8655223524443743,0.5396749939894652,"{'C': 1.7500096028443315, 'gamma': 3.567987236421342}",48,10,10
