dataset,kernel,svm.C,svm.poly.degree,svm.poly.gamma,svm.custom_hermite.degree,svm.custom_gegen.degree,svm.custom_gegen.alpha,accuracy,accuracy_std,train_accuracy,train_accuracy_std,f1_score,f1_score_std,train_f1_score,train_f1_score_std,precision,precision_std,train_precision,train_precision_std,recall,recall_std,train_recall,train_recall_std,support_vector_acc,support_vector_std,train_time
haberman,LINEAR,1,,,,,,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,62.31313020966095,1.25539749377742,62.31306269613288,0.1422234000076702,54.07094461787489,1.3727868758549355,54.06581158552356,0.15669164776101083,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,53.81291172595521,0.26090948710380135,0.10533210006542504
haberman,POLY,1,5.0,"['scale', 'auto']",,,,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,62.31313020966095,1.25539749377742,62.31306269613288,0.1422234000076702,54.07094461787489,1.3727868758549355,54.06581158552356,0.15669164776101083,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,64.66864295125164,1.9572825827517568,0.16476040007546544
haberman,RBF,1,,,,,,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,62.31313020966095,1.25539749377742,62.31306269613288,0.1422234000076702,54.07094461787489,1.3727868758549355,54.06581158552356,0.15669164776101083,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,69.32002635046112,2.153008239052031,0.13299059984274209
haberman,HERMITE,1,,,5.0,,,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,62.31313020966095,1.25539749377742,62.31306269613288,0.1422234000076702,54.07094461787489,1.3727868758549355,54.06581158552356,0.15669164776101083,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,65.21357048748352,1.6112296939979414,0.1409348000306636
haberman,GEGEN,1,,,,5.0,0.2,73.5268817204301,0.9445243550966771,73.8562582345191,0.14705876961541373,62.31313020966095,1.25539749377742,63.07559047107279,0.2828485898800953,54.07094461787489,1.3727868758549355,78.06886491827608,7.990752149208187,73.5268817204301,0.9445243550966771,73.8562582345191,0.14705876961541373,57.87865612648221,2.3506265893837943,0.17961600003764033
haberman,AL-SALAM,1,,,,,,73.5268817204301,0.9445243550966771,73.8562582345191,0.14705876961541373,62.31313020966095,1.25539749377742,63.07559047107279,0.2828485898800953,54.07094461787489,1.3727868758549355,78.06886491827608,7.990752149208187,73.5268817204301,0.9445243550966771,73.8562582345191,0.14705876961541373,60.312516469038215,1.9932778238877975,0.89455800014548
ionosphere,LINEAR,1,,,,,,88.32539682539682,5.31976377495422,93.57373920032147,0.4730123571271209,87.62138890250442,6.153327810185381,93.4914386795449,0.48630175877531057,89.57710896993505,4.124232762978754,93.68903278795273,0.45822632594487406,88.32539682539682,5.31976377495422,93.57373920032147,0.4730123571271209,28.268937110709267,1.7760615341488593,0.14990179985761642
ionosphere,POLY,1,5.0,"['scale', 'auto']",,,,88.90476190476191,5.730334605751879,94.04862366887683,0.7058878171933651,88.23842545020779,6.313462008997167,93.96290343229566,0.7293292301643937,90.1839171867058,4.723424723276834,94.21460413470466,0.6630993481491229,88.90476190476191,5.730334605751879,94.04862366887683,0.7058878171933651,38.17711472774764,1.335254751739784,0.21069759991951287
ionosphere,RBF,1,,,,,,92.3015873015873,5.582812951686161,94.30188868796463,0.5492481249986872,91.93447835028358,5.972262230247296,94.20503942702693,0.5699992530997323,93.09583915509381,4.880568797153194,94.5649917971191,0.5008375829397019,92.3015873015873,5.582812951686161,94.30188868796463,0.5492481249986872,39.88607594936708,0.8014767654823659,0.15910209994763136
ionosphere,HERMITE,1,,,5.0,,,73.78571428571429,6.373174008198392,76.28993369499699,0.8191169429655476,73.85694907285091,6.775290006433428,76.5961140520775,0.8261843711201616,83.22983429907357,3.4712430111004373,84.82831266824631,0.6591136845335884,73.78571428571429,6.373174008198392,76.28993369499699,0.8191169429655476,66.88868796463734,1.469288727840377,0.6675972000230104
ionosphere,GEGEN,1,,,,5.0,0.2,77.46031746031747,9.204159564456816,99.71508941129194,0.0949706685532548,76.04047715147732,10.183170063245143,99.71480972854548,0.09506389868653568,77.53129909762642,11.307321452966155,99.71648985507196,0.09450384810419066,77.46031746031747,9.204159564456816,99.71508941129194,0.0949706685532548,34.78862768736187,1.592640829511473,1.4590260998811573
ionosphere,AL-SALAM,1,,,,,,91.76190476190476,5.259911279353164,100.0,0.0,91.8487789438293,5.198636912548466,100.0,0.0,92.55165858105256,4.864923609493321,100.0,0.0,91.76190476190476,5.259911279353164,100.0,0.0,54.98563391601366,1.699787880345945,13.218545200070366
breast,LINEAR,1,,,,,,96.6389599317988,2.2625609833642457,97.3321416276052,0.32610493473964663,96.63916956946352,2.2626129662977457,97.33617797826149,0.3245841997016623,96.7310734672792,2.227736013001539,97.3461170084413,0.3206897649111038,96.6389599317988,2.2625609833642457,97.3321416276052,0.32610493473964663,8.003628081883425,0.482527292075346,0.15660730004310608
breast,POLY,1,5.0,"['scale', 'auto']",,,,96.64322250639387,2.7556522775109675,97.60872328592993,0.3249210979997964,96.64628803635165,2.7615356559963637,97.61297711794641,0.3236646350379511,96.74105159841824,2.744499992728601,97.62400473914627,0.32049646401647147,96.64322250639387,2.7556522775109675,97.60872328592993,0.3249210979997964,8.882074097613941,0.5501971583898351,0.4448224001098424
breast,RBF,1,,,,,,97.0780051150895,2.1569522488833974,97.38094859775958,0.2755798843972037,97.09201737044216,2.1390701054177046,97.38746758698295,0.2738388717755452,97.18375543361695,2.0803863094093966,97.40674449674862,0.2678993948074674,97.0780051150895,2.1569522488833974,97.38094859775958,0.2755798843972037,10.281057175392602,0.7216845780426157,0.2445491999387741
breast,HERMITE,1,,,5.0,,,96.20204603580562,2.1744102869799318,96.82778528111014,0.19479719310339355,96.22853384506298,2.1487825736272734,96.8436431998016,0.19252084121346397,96.38288911964341,2.0572458213540625,96.9139685716829,0.18142912902666203,96.20204603580562,2.1744102869799318,96.82778528111014,0.19479719310339355,12.021768491300548,0.73092938059809,0.961097399936989
breast,GEGEN,1,,,,5.0,0.2,93.71270247229326,2.517518560542032,98.64979741002622,0.24151444683320006,93.63418434285424,2.6091136225442355,98.65052842350195,0.24085035762947057,93.94826195451685,2.32942318146005,98.65256696907075,0.23912844207293923,93.71270247229326,2.517518560542032,98.64979741002622,0.24151444683320006,13.974153226874288,0.8787867589049908,2.3241363000124693
breast,AL-SALAM,1,,,,,,95.17902813299231,3.1244962542653973,100.0,0.0,95.14232871624456,3.1722040644762304,100.0,0.0,95.31893307388832,3.0778422422032508,100.0,0.0,95.17902813299231,3.1244962542653973,100.0,0.0,19.016710362543364,1.1168118150840454,3.9401551000773907
australian,LINEAR,1,,,,,,85.50724637681158,4.762804847871008,85.65217391304347,0.5165544261624928,85.5143723606629,4.7721338059911025,85.68661518763614,0.5176080706332389,86.8348171626719,4.178139533141715,86.81545864226186,0.4365749300532398,85.50724637681158,4.762804847871008,85.65217391304347,0.5165544261624928,31.04669887278583,1.7519063148417575,0.2344857999123633
australian,POLY,1,5.0,"['scale', 'auto']",,,,85.65217391304347,4.511415193122721,87.26247987117553,0.4523211563667698,85.66710458082603,4.509715342240331,87.30007200785087,0.4516323582704323,86.49646786504577,3.9266577771402202,87.84681013208571,0.41989856932973463,85.65217391304347,4.511415193122721,87.26247987117553,0.4523211563667698,32.97906602254427,0.9973502458745256,0.4905350999906659
australian,RBF,1,,,,,,85.50724637681158,4.762804847871008,85.84541062801932,0.4165061886111921,85.5143723606629,4.7721338059911025,85.88064074614611,0.4180913242102394,86.8348171626719,4.178139533141715,86.96050776085089,0.3401573831187425,85.50724637681158,4.762804847871008,85.84541062801932,0.4165061886111921,35.410628019323674,0.9727367671844733,0.3477203999646008
australian,HERMITE,1,,,5.0,,,84.20289855072463,5.777139544346304,85.86151368760065,1.7651774049655018,84.13626723998469,5.829251461889563,85.83420028260527,1.8814046535868516,84.71326989968583,5.394240631719404,86.09800355480296,1.6267282699228558,84.20289855072463,5.777139544346304,85.86151368760065,1.7651774049655018,67.35909822866344,2.115638083351931,1.7370457998476923
australian,GEGEN,1,,,,5.0,0.2,76.23188405797102,3.9530961440538714,98.19645732689212,0.39312578472572257,76.1743318038602,3.94319195098879,98.19460035190785,0.39422905441863004,76.34936493893856,3.949321814297293,98.20835327543442,0.3839211996399806,76.23188405797102,3.9530961440538714,98.19645732689212,0.39312578472572257,36.74718196457327,1.200299204739724,4.796907800016925
australian,AL-SALAM,1,,,,,,76.66666666666666,4.738487746165744,99.48470209339774,0.12050426366421764,76.54635681380539,4.73445014231288,99.48466055804059,0.12052530433275559,76.77852148034988,4.558635599794688,99.4850369862374,0.12037965359676049,76.66666666666666,4.738487746165744,99.48470209339774,0.12050426366421764,44.766505636070846,1.9813962531751397,6.872725900029764
german,LINEAR,1,,,,,,76.6,5.063595560468865,78.56666666666666,0.8365862437369367,75.61389838057416,4.99636315230896,77.6504794942523,0.8732842530111334,75.75134845400797,5.286864763922127,77.66949861271787,0.9333173570880515,76.6,5.063595560468865,78.56666666666666,0.8365862437369367,53.37777777777778,0.8376923033320319,0.3709631999954581
german,POLY,1,5.0,"['scale', 'auto']",,,,77.2,3.370459909270544,84.75555555555555,0.32508308529617364,75.65115705764399,4.201167530413741,84.01365406886748,0.43874258081631845,75.95339693299904,4.095923626047699,84.61945558960554,0.2739616724876346,77.2,3.370459909270544,84.75555555555555,0.32508308529617364,56.4,0.9245619583428755,0.9449372999370098
german,RBF,1,,,,,,75.6,4.103656905736639,80.92222222222223,0.6305983832738974,73.24905622329096,4.590949533647281,79.38041086241056,0.8096982581118265,74.2418199603798,5.245793214935967,80.72701476166128,0.6593762585627068,75.6,4.103656905736639,80.92222222222223,0.6305983832738974,59.91111111111111,0.6953105709849767,0.5318430999759585
german,HERMITE,1,,,5.0,,,70.0,0.0,70.0,0.0,57.647058823529406,0.0,57.647058823529406,0.0,49.00000000000001,5.551115123125783e-15,49.00000000000001,5.551115123125783e-15,70.0,0.0,70.0,0.0,68.94444444444444,0.5561108336107614,6.703653100179508
german,GEGEN,1,,,,5.0,0.2,62.8,4.6,99.98888888888888,0.03333333333333188,63.77256997413851,4.343043123641396,99.98888298741025,0.03335103776929915,65.49258656285825,4.138589788686611,99.98890649762282,0.03328050713153896,62.8,4.6,99.98888888888888,0.03333333333333188,56.17777777777777,2.0609239208198358,16.317868300015107
german,AL-SALAM,1,,,,,,71.00000000000001,2.756809750418043,100.0,0.0,63.758949058040926,3.601444806791513,100.0,0.0,67.72108277839594,8.149350802256302,100.0,0.0,71.00000000000001,2.756809750418043,100.0,0.0,95.31111111111112,0.32885885748774984,13.663850100012496
heart,LINEAR,1,,,,,,83.33333333333334,5.037581669902015,85.39094650205762,0.5597312966557769,83.13424865953849,5.255833583003378,85.3554648470434,0.5678725917525745,84.09608660937351,4.99811737588252,85.38984050148265,0.5604997594971431,83.33333333333334,5.037581669902015,85.39094650205762,0.5597312966557769,37.572016460905346,1.2075226955655303,0.13520619994960725
heart,POLY,1,5.0,"['scale', 'auto']",,,,82.5925925925926,4.074074074074073,88.93004115226336,0.6227467469309302,82.44297026998423,4.197524658986107,88.8939718232159,0.6259753457953104,83.27251729560811,3.9108244861715438,88.96475352068445,0.6288157981255619,82.5925925925926,4.074074074074073,88.93004115226336,0.6227467469309302,43.20987654320989,1.2617045034366987,0.17226729984395206
heart,RBF,1,,,,,,82.96296296296296,5.289946984105815,86.70781893004117,0.5834340279324226,82.73782688208222,5.505284947741927,86.63620970088131,0.5988039162526664,83.64153099795514,4.983341223238772,86.8039802682982,0.5601946278972286,82.96296296296296,5.289946984105815,86.70781893004117,0.5834340279324226,49.25925925925925,1.0255091188787755,0.13726109988056123
heart,HERMITE,1,,,5.0,,,70.74074074074075,7.4902771911691435,74.5679012345679,3.0452674897119345,67.61851640505967,9.556785141112423,72.75641547144961,3.697451947366554,74.70505890912406,7.627450402417852,78.25457367843566,2.1166219781402247,70.74074074074075,7.4902771911691435,74.5679012345679,3.0452674897119345,90.53497942386831,0.4508004588519867,0.26565250009298325
heart,GEGEN,1,,,,5.0,0.2,73.33333333333334,6.98813417189378,99.54732510288066,0.28806584362139787,73.19734276044065,6.907152940565975,99.5470622007754,0.28826268186575604,73.99357858916683,7.537056515246829,99.5512411056159,0.28520962605420064,73.33333333333334,6.98813417189378,99.54732510288066,0.28806584362139787,48.51851851851852,2.01981748013301,0.38826139993034303
heart,AL-SALAM,1,,,,,,72.22222222222221,7.075915990571409,100.0,0.0,71.9704372947711,6.994007316551739,100.0,0.0,72.72923926110202,7.308021922870782,100.0,0.0,72.22222222222221,7.075915990571409,100.0,0.0,74.03292181069958,1.0957635354480952,5.1924335998483
fourclass,LINEAR,1,,,,,,76.92194600374232,2.535598697034476,77.0173428666445,0.3649941860931061,75.81302673632308,2.6261428891778555,76.06389192238152,0.3637569439609341,77.06716845522648,3.234153160136901,76.65018346580116,0.4200278943032416,76.92194600374232,2.535598697034476,77.0173428666445,0.3649941860931061,53.20946125706685,0.7215894954752652,0.22808089992031455
fourclass,POLY,1,5.0,"['scale', 'auto']",,,,80.39828922747928,3.7622298228764,80.48475224476222,0.4201491454727768,78.74656754347873,4.351032738948221,78.97480646775563,0.48968769088422615,81.9882116378014,4.274446142509418,81.89572153105378,0.45103219333007366,80.39828922747928,3.7622298228764,80.48475224476222,0.4201491454727768,45.73335550382441,0.6355868589923884,0.6879593001212925
fourclass,RBF,1,,,,,,80.39695268644748,3.436174212648084,80.51055869637513,0.4291536023676587,78.81509452707276,3.8379735829987065,79.00705263885412,0.48611237924867623,81.95811396499012,4.087086242845828,81.91698869352344,0.49111461284550606,80.39695268644748,3.436174212648084,80.51055869637513,0.4291536023676587,47.782823412038574,0.669444332006157,0.36638160003349185
fourclass,HERMITE,1,,,5.0,,,80.16840417000802,3.1259108971609146,80.13664782174924,0.3702530150415689,78.81379143043532,3.3213427062297094,78.83229639390008,0.3966922828568967,81.27823343502915,4.048600824502873,80.92331634725653,0.46544120235618147,80.16840417000802,3.1259108971609146,80.13664782174924,0.3702530150415689,51.63691386764217,0.6963054699913832,0.589469299884513
fourclass,GEGEN,1,,,,5.0,0.2,81.32317562149159,3.635063352949276,82.52126704356503,1.0379529632707216,80.66737871062327,3.8108764034671574,81.93706243618776,1.1375911043931755,81.66544546657626,4.065631764317068,82.57566961566442,1.1140689548346376,81.32317562149159,3.635063352949276,82.52126704356503,1.0379529632707216,48.11807449285002,1.3706005394443972,0.7300040000118315
fourclass,AL-SALAM,1,,,,,,85.38225073509757,2.4523328187146936,86.83915862986366,1.0187282130578952,85.06904507222866,2.421124545575953,86.54229479755526,1.1088120549140896,85.76192066616282,2.807495810793826,86.89993048478624,0.9638663501295931,85.38225073509757,2.4523328187146936,86.83915862986366,1.0187282130578952,42.858929165281005,0.7104580992696681,1.2806730000302196
