dataset,kernel,svm.C,svm.poly.degree,svm.poly.gamma,svm.custom_hermite.degree,svm.custom_gegen.degree,svm.custom_gegen.alpha,accuracy,accuracy_std,train_accuracy,train_accuracy_std,f1_score,f1_score_std,train_f1_score,train_f1_score_std,precision,precision_std,train_precision,train_precision_std,recall,recall_std,train_recall,train_recall_std,support_vector_acc,support_vector_std,train_time
haberman,LINEAR,15,,,,,,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,62.31313020966095,1.25539749377742,62.31306269613288,0.1422234000076702,54.07094461787489,1.3727868758549355,54.06581158552356,0.15669164776101083,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,55.08379446640316,0.48331127684404945,0.11773460000404157
haberman,POLY,15,3.0,"['scale', 'auto']",,,,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,62.31313020966095,1.25539749377742,62.31306269613288,0.1422234000076702,54.07094461787489,1.3727868758549355,54.06581158552356,0.15669164776101083,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,68.15401844532279,2.480642085339949,0.1859065999960876
haberman,RBF,15,,,,,,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,62.31313020966095,1.25539749377742,62.31306269613288,0.1422234000076702,54.07094461787489,1.3727868758549355,54.06581158552356,0.15669164776101083,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,62.16324110671936,2.7327442171389693,0.22868649999873014
haberman,HERMITE,15,,,4.0,,,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,62.31313020966095,1.25539749377742,62.31306269613288,0.1422234000076702,54.07094461787489,1.3727868758549355,54.06581158552356,0.15669164776101083,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,71.60408432147564,2.2019470218668364,0.18800490000285208
haberman,GEGEN,15,,,,3.0,0.7,73.5268817204301,0.9445243550966771,73.89262187088273,0.17537934385679937,62.31313020966095,1.25539749377742,63.221827119570996,0.40407459055935996,54.07094461787489,1.3727868758549355,77.21666531453073,8.139597588504325,73.5268817204301,0.9445243550966771,73.89262187088273,0.17537934385679937,59.186034255599466,2.003856918697925,0.3712249000018346
haberman,AL-SALAM,15,,,,,,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,62.31313020966095,1.25539749377742,62.31306269613288,0.1422234000076702,54.07094461787489,1.3727868758549355,54.06581158552356,0.15669164776101083,73.5268817204301,0.9445243550966771,73.52938076416336,0.10640954392214519,74.14808959156785,2.0328155593038066,1.069991399999708
ionosphere,LINEAR,15,,,,,,87.16666666666667,6.308804990500438,95.02983725135623,0.95129443558356,86.58363858597836,6.968521022842691,94.99487351888413,0.9657656654036167,87.97613193474619,6.24216252316409,95.05219956464879,0.9438513364045384,87.16666666666667,6.308804990500438,95.02983725135623,0.95129443558356,21.74794052642154,1.7119048942895752,0.23467719999462133
ionosphere,POLY,15,3.0,"['scale', 'auto']",,,,90.88095238095238,4.574961432497933,98.0690174804099,0.35937605334906003,90.56929272443026,4.826423238211031,98.06282949337319,0.36112727649515364,91.45351789917008,4.452254141781374,98.07841525281145,0.35862953168675865,90.88095238095238,4.574961432497933,98.0690174804099,0.35937605334906003,24.501105083383568,1.0536226363922152,0.21695619999809423
ionosphere,RBF,15,,,,,,95.15079365079366,5.122147455689177,98.06891701828411,0.3868073126199462,95.07175282626716,5.234737813748476,98.06279246690552,0.38831496692878725,95.21032744630571,5.186327615918913,98.07889623870153,0.3888900441718813,95.15079365079366,5.122147455689177,98.06891701828411,0.3868073126199462,23.424954792043398,1.5603953047830945,0.1652198000010685
ionosphere,HERMITE,15,,,4.0,,,79.4920634920635,6.343171735370174,85.47006228651799,0.6856828879318363,79.65468018381088,6.627561085908592,85.76352529404059,0.6732280456387113,86.20532692396468,2.9296403673852343,89.66141605414171,0.35028149232014866,79.4920634920635,6.343171735370174,85.47006228651799,0.6856828879318363,55.745529435402865,1.1101652609140797,0.6360111000030884
