dataset,kernel,svm.C,svm.poly.degree,svm.poly.gamma,svm.custom_hermite.degree,svm.custom_gegen.degree,svm.custom_gegen.alpha,accuracy,accuracy_std,train_accuracy,train_accuracy_std,f1_score,f1_score_std,train_f1_score,train_f1_score_std,precision,precision_std,train_precision,train_precision_std,recall,recall_std,train_recall,train_recall_std,support_vector_acc,support_vector_std,train_time,run_id
haberman,LINEAR,1,,,,,,73.5268817204301,0.9445243550966772,73.52938076416336,0.1064095439221451,62.31313020966095,1.25539749377742,62.31306269613288,0.1422234000076702,54.07094461787489,1.3727868758549355,54.06581158552356,0.1566916477610108,73.5268817204301,0.9445243550966772,73.52938076416336,0.1064095439221451,53.81291172595521,0.2609094871038013,0.1034604997839778,1
haberman,POLY,1,2.0,"['scale', 'auto']",,,,73.5268817204301,0.9445243550966772,73.52938076416336,0.1064095439221451,62.31313020966095,1.25539749377742,62.31306269613288,0.1422234000076702,54.07094461787489,1.3727868758549355,54.06581158552356,0.1566916477610108,73.5268817204301,0.9445243550966772,73.52938076416336,0.1064095439221451,64.66864295125164,1.9572825827517568,0.1616515999194234,1
haberman,RBF,1,,,,,,73.5268817204301,0.9445243550966772,73.52938076416336,0.1064095439221451,62.31313020966095,1.25539749377742,62.31306269613288,0.1422234000076702,54.07094461787489,1.3727868758549355,54.06581158552356,0.1566916477610108,73.5268817204301,0.9445243550966772,73.52938076416336,0.1064095439221451,69.32002635046112,2.153008239052031,0.1277787999715656,1
haberman,HERMITE,1,,,3.0,,,73.5268817204301,0.9445243550966772,73.52938076416336,0.1064095439221451,62.31313020966095,1.25539749377742,62.31306269613288,0.1422234000076702,54.07094461787489,1.3727868758549355,54.06581158552356,0.1566916477610108,73.5268817204301,0.9445243550966772,73.52938076416336,0.1064095439221451,62.67127799736496,2.183895335069628,0.129614399978891,1
haberman,GEGEN,1,,,,2.0,0.1,73.5268817204301,0.9445243550966772,73.52938076416336,0.1064095439221451,62.31313020966095,1.25539749377742,62.31306269613288,0.1422234000076702,54.07094461787489,1.3727868758549355,54.06581158552356,0.1566916477610108,73.5268817204301,0.9445243550966772,73.52938076416336,0.1064095439221451,59.07707509881423,1.5483600526225143,0.1229574000462889,1
haberman,AL-SALAM,1,,,,,,73.5268817204301,0.9445243550966772,73.8562582345191,0.1470587696154137,62.31313020966095,1.25539749377742,63.07559047107279,0.2828485898800953,54.07094461787489,1.3727868758549355,78.06886491827608,7.990752149208187,73.5268817204301,0.9445243550966772,73.8562582345191,0.1470587696154137,59.149143610013176,3.372088947827393,0.8832016000524163,1
ionosphere,LINEAR,1,,,,,,88.32539682539682,5.31976377495422,93.57373920032148,0.4730123571271209,87.62138890250442,6.153327810185381,93.4914386795449,0.4863017587753105,89.57710896993505,4.124232762978754,93.68903278795273,0.458226325944874,88.32539682539682,5.31976377495422,93.57373920032148,0.4730123571271209,28.268937110709267,1.7760615341488593,0.1395701000001281,1
ionosphere,POLY,1,2.0,"['scale', 'auto']",,,,88.90476190476191,5.730334605751879,94.04862366887684,0.7058878171933651,88.23842545020779,6.313462008997167,93.96290343229566,0.7293292301643937,90.1839171867058,4.723424723276834,94.21460413470466,0.6630993481491229,88.90476190476191,5.730334605751879,94.04862366887684,0.7058878171933651,38.17711472774764,1.335254751739784,0.2102214000187814,1
ionosphere,RBF,1,,,,,,92.3015873015873,5.582812951686161,94.30188868796463,0.5492481249986872,91.93447835028358,5.972262230247296,94.20503942702692,0.5699992530997323,93.0958391550938,4.880568797153194,94.5649917971191,0.5008375829397019,92.3015873015873,5.582812951686161,94.30188868796463,0.5492481249986872,39.88607594936708,0.8014767654823659,0.1766882000956684,1
ionosphere,HERMITE,1,,,3.0,,,71.5079365079365,7.343993488750641,74.45358649789029,1.364522321722782,71.4454656541521,7.842930280433874,74.74490061464446,1.4338475896182936,81.67845248826943,3.914658456983968,83.23864105311551,0.4679650600073503,71.5079365079365,7.343993488750641,74.45358649789029,1.364522321722782,70.71880650994575,1.137238474521883,0.5892521000932902,1
ionosphere,GEGEN,1,,,,2.0,0.1,93.15873015873017,4.646457700334498,95.66335141651598,0.6635901821970557,92.90953515486125,4.900916953126604,95.61762682867976,0.6735482322624439,93.743338818991,4.2119806401139845,95.77282598417602,0.662600698862375,93.15873015873017,4.646457700334498,95.66335141651598,0.6635901821970557,28.90134619248543,1.0537174641072722,1.3366014000494033,1
ionosphere,AL-SALAM,1,,,,,,90.04761904761904,5.692219298675841,100.0,0.0,90.15566871440876,5.601279762047003,100.0,0.0,91.42627150394492,4.7863320995738725,100.0,0.0,90.04761904761904,5.692219298675841,100.0,0.0,49.4769941731967,1.0934693186834783,12.885407200083137,1
