dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
fertility,0,0,poly,50,50,0.08201238604490241,0.44554455445544555,0.07928864832710263,0.39603960396039606,15.207187465105227,0.13695223348611185,0.3543209035940872,0.4951962647510456,0.13695223348611185,0.4951962647510456,0.9814732314931008,49.974366719893354,1.150233969547765,0.6969508368094828,0.5,25.0,0.784,0.7119999999999999,"{""C"": 0.22185661576237073, ""degree"": 6, ""gamma"": 0.09896254471814175}"
fertility,0,1,poly,50,50,0.07966455019692656,0.3465346534653465,0.029257440434016155,0.25742574257425743,10.880898238941935,0.19381471246624807,0.43979710050301696,0.5949693130496794,0.19381471246624807,0.5949693130496794,0.9773118656889698,49.59745609151862,1.000615309002677,0.014616917260191325,0.44,22.0,0.8839999999999999,0.816,"{""C"": 0.0207504144671666, ""degree"": 4, ""gamma"": 0.40858561029232204}"
fertility,1,0,poly,50,50,0.0552962473355486,0.48514851485148514,0.00599242913076581,0.40594059405940597,7.862009114963235,0.21032683967367638,0.5371810867314777,0.7319063482395336,0.21032683967367638,0.7319063482395336,0.9879684146985473,43.10129449087267,1.0001558566005473,0.0007850236458616706,0.34,17.0,0.956,0.966,"{""C"": 0.003442088104927352, ""degree"": 2, ""gamma"": 0.1006394506156285}"
fertility,1,1,poly,50,50,0.05358098822266219,0.43564356435643564,0.005974250464289785,0.45544554455445546,7.170383676396312,0.24258134482516286,0.5649329898064978,0.7453055421486919,0.24258134482516286,0.7453055421486919,1.023362286174876,43.19669137721275,1.3606692106314557,0.7326821753818212,0.36,18.0,0.956,0.946,"{""C"": 2.938595390848235, ""degree"": 2, ""gamma"": 0.2000014406142224}"
fertility,2,0,poly,50,50,0.03797509990877773,0.6435643564356436,0.0017389128333258023,0.6138613861386139,5.799428450599541,0.26925071428223674,0.6297744310980574,0.8526268841354027,0.26925071428223674,0.8526268841354027,0.9770821462285331,9.992906659270215,1.000827585449673,0.0010580842847170502,0.42,21.0,1.0,1.0,"{""C"": 2.177171708216083, ""degree"": 1, ""gamma"": 1.338848972022524}"
fertility,2,1,poly,50,50,0.06607449698360912,0.7029702970297029,0.0693530593154099,0.6534653465346535,13.578411065311403,0.17347620120836946,0.3758504411411522,0.5191086489855437,0.17347620120836946,0.5191086489855437,0.9781238198167745,49.97086766456815,1.0393695393039315,0.25784975037888996,0.4,20.0,0.7559999999999999,0.7040000000000001,"{""C"": 0.06153697466488611, ""degree"": 6, ""gamma"": 0.14603535868429504}"
fertility,3,0,poly,50,50,0.09250030314810727,0.07920792079207921,0.004124684939949132,0.06930693069306931,5.800468943082893,0.26164900730748286,0.6409529966159587,0.8529947829833241,0.26164900730748286,0.8529947829833241,1.03338793541167,9.992539846304565,1.0638344887023552,0.08230175089812404,0.34,17.0,1.0,1.0,"{""C"": 3.7623542301012813, ""degree"": 1, ""gamma"": 0.4812727759397435}"
fertility,3,1,poly,50,50,0.06496028139555307,0.7326732673267327,0.03472378331301931,0.693069306930693,14.698607604823215,0.14628857829097758,0.3516789525348391,0.5019864330066082,0.14628857829097758,0.5019864330066082,0.9912447265857327,49.93821527016824,1.0266121792557856,0.24876401503635212,0.46,23.0,0.8399999999999999,0.774,"{""C"": 0.11002459129084928, ""degree"": 5, ""gamma"": 1.8730314527590837}"
fertility,4,0,poly,50,50,0.08104916076962304,0.3069306930693069,0.028982725320453637,0.2376237623762376,10.813746760551671,0.2066926200633705,0.44125394077453095,0.5909905670792442,0.2066926200633705,0.5909905670792442,1.0383552527472049,49.85213517790283,1.004239876762294,0.021505567468509613,0.4,20.0,0.8839999999999999,0.862,"{""C"": 0.031249836978717596, ""degree"": 4, ""gamma"": 0.4049785577587158}"
fertility,4,1,poly,50,50,0.05613477999747547,0.8712871287128713,0.05545671952336239,0.8118811881188119,15.54964673783561,0.13622937825650278,0.3409899619554062,0.4797539718336846,0.13622937825650278,0.4797539718336846,0.910669162937524,49.925966966096325,0.998350213982564,0.017449935295979758,0.48,24.0,0.716,0.654,"{""C"": 0.003971334568905206, ""degree"": 6, ""gamma"": 1.0808462166517208}"
