dataset,repeat,fold,kernel,n_samples_test,n_train,cka,cka_p,hsic,hsic_p,effective_rank,top1_ratio,cum_top3,cum_top5,kpca_top1,kpca_cum_top5,fisher_ratio_rkhs,dof_trace,svm_mean_margin,svm_std_margin,svm_sv_prop,svm_n_sv,knn_overlap_5,knn_overlap_10,best_params
german,0,0,custom_hermite,500,500,0.036469426051384465,0.009900990099009901,8.271009629955267e-09,0.009900990099009901,66.3703617028203,0.06871419095962046,0.15045526867499348,0.2080877038465513,0.06871419095962046,0.2080877038465513,1.0359765316550569,2.2157554544916094,0.9996664530007873,0.00020265723984882927,0.602,301.0,0.372,0.339,"{""C"": 30.825200295827173, ""degree"": 4}"
german,0,1,custom_hermite,500,500,0.040099764471402746,0.009900990099009901,3.438742267985346e-08,0.009900990099009901,103.33332618284774,0.048662834668363644,0.10657725049058742,0.1497201703302049,0.048662834668363644,0.1497201703302049,1.0297754151404648,9.674838360719804,0.9999882631749315,3.564974804651594e-06,0.6,300.0,0.26,0.2116,"{""C"": 0.13733409805134578, ""degree"": 6}"
german,1,0,custom_hermite,500,500,0.030564303834173592,0.009900990099009901,2.731513586021951e-09,0.009900990099009901,39.13612939558428,0.10701151479336898,0.20972877798740638,0.28530838179188256,0.10701151479336898,0.28530838179188256,1.0614267932867179,0.7076028919579148,0.99999996845764,1.2658006124416587e-08,0.6,300.0,0.41520000000000007,0.3886,"{""C"": 0.00786282112668518, ""degree"": 2}"
german,1,1,custom_hermite,500,500,0.03815367329829009,0.009900990099009901,2.791044728854566e-09,0.009900990099009901,47.725186179980064,0.09068975787274823,0.18364559080680515,0.24888247617722403,0.09068975787274823,0.24888247617722403,1.0097604330896321,0.6432342941822984,0.9999999973497695,2.0341583444419814e-09,0.6,300.0,0.43239999999999995,0.4186,"{""C"": 0.001084028079134384, ""degree"": 2}"
german,2,0,custom_hermite,500,500,0.041490912987617874,0.009900990099009901,2.273414313895291e-09,0.009900990099009901,41.72520369994918,0.09517134141853953,0.20899412261969638,0.27690296863396774,0.09517134141853953,0.27690296863396774,1.0321028617554007,0.4613998449233604,0.9999999968248916,2.0780494975663566e-09,0.6,300.0,0.4716,0.433,"{""C"": 0.0015803934657468008, ""degree"": 1}"
german,2,1,custom_hermite,500,500,0.03100749197800697,0.009900990099009901,2.7234914717269742e-09,0.009900990099009901,40.477916974496786,0.10456088933664506,0.20463063816698696,0.2772997644426094,0.10456088933664506,0.2772997644426094,1.0391801996383596,0.7030462094008831,0.9999986448990638,1.2396621175216904e-06,0.6,300.0,0.41720000000000007,0.39200000000000007,"{""C"": 0.6508092861274101, ""degree"": 2}"
german,3,0,custom_hermite,500,500,0.03796672121091039,0.009900990099009901,6.603192794483326e-09,0.009900990099009901,57.861190818353826,0.07810252092498787,0.16455413465095461,0.22279852940821082,0.07810252092498787,0.22279852940821082,1.0228891363173251,1.6092283994245027,0.9999933478957137,2.3606058138265065e-06,0.6,300.0,0.384,0.3542,"{""C"": 0.5333732932625159, ""degree"": 3}"
german,3,1,custom_hermite,500,500,0.036563891174752096,0.009900990099009901,2.119704100445504e-09,0.009900990099009901,43.26743039615223,0.09594411427566774,0.1972497365109708,0.2657386508013162,0.09594411427566774,0.2657386508013162,1.0445421873319432,0.4912973358980175,0.9999995092276351,1.9107009212534422e-07,0.6,300.0,0.44160000000000005,0.42,"{""C"": 0.13561900125069096, ""degree"": 1}"
german,4,0,custom_hermite,500,500,0.041929657641722004,0.009900990099009901,2.185267883016563e-09,0.009900990099009901,41.66354873698801,0.10188149874448377,0.2031859562504227,0.2650886362960057,0.10188149874448377,0.2650886362960057,1.041117580022368,0.4362867420272597,0.9999999848957598,5.144275875905191e-09,0.6,300.0,0.45480000000000004,0.42660000000000003,"{""C"": 0.003989103621995407, ""degree"": 1}"
german,4,1,custom_hermite,500,500,0.03227654574190973,0.009900990099009901,8.444780012226821e-09,0.009900990099009901,63.5668105993694,0.07055786664769391,0.15474156667379846,0.21608650912378236,0.07055786664769391,0.21608650912378236,1.0285254507575352,2.484798797960015,0.9999889390034553,4.204305125355616e-06,0.6,300.0,0.3516,0.31160000000000004,"{""C"": 0.6654556060937455, ""degree"": 4}"
