dataset,kernel,cka_median,cka_iqr,cka_p_median,cka_p_iqr,hsic_median,hsic_iqr,hsic_p_median,hsic_p_iqr,effective_rank_median,effective_rank_iqr,top1_ratio_median,top1_ratio_iqr,cum_top3_median,cum_top3_iqr,cum_top5_median,cum_top5_iqr,kpca_top1_median,kpca_top1_iqr,kpca_cum_top5_median,kpca_cum_top5_iqr,knn_overlap_5_median,knn_overlap_5_iqr,knn_overlap_10_median,knn_overlap_10_iqr,fisher_ratio_rkhs_median,fisher_ratio_rkhs_iqr,svm_mean_margin_median,svm_mean_margin_iqr,svm_std_margin_median,svm_std_margin_iqr,svm_sv_prop_median,svm_sv_prop_iqr,svm_n_sv_median,svm_n_sv_iqr,dof_trace_median,dof_trace_iqr
SPECTF,custom_alsalam,0.01186999734534479,0.11338192258722177,0.7178217821782178,0.9653465346534653,0.0005539489646975663,9676.532377696723,0.7227722772277227,0.9653465346534653,9.982448012888499,56.48877011858036,0.23507235502658297,0.5542178560496013,0.48189994434613714,0.6379859824964449,0.5941684170765117,0.655973489718938,0.23507235502658297,0.5542178560496013,0.5941684170765117,0.655973489718938,0.2902255639097744,0.15138031646279887,0.3161654135338346,0.15001683312759512,0.722713391101304,0.41657954332713665,1.0000082992104775,0.024979286486155772,0.07063670032243845,0.823981139902858,0.4495567276399955,0.4026484120749636,60.0,53.75,127.56979189614641,121.41389620766309
SPECTF,custom_gegen,0.14283969107413474,0.11323606426073135,0.009900990099009901,0.22277227722772275,0.026391903703666286,25.908197436813296,0.009900990099009901,0.21534653465346532,16.05019425752549,9.195343908112653,0.20366007960018206,0.04706790580021941,0.3452181059876269,0.1695065378049725,0.42600856904948337,0.17163843325920064,0.20366007960018206,0.04706790580021941,0.42600856904948337,0.17163843325920064,0.2844013017618674,0.41564078105712055,0.32611940298507464,0.42645326001571093,0.9684605476350897,0.33183197460365577,1.002449893787375,0.2000501993748982,0.7466323350902915,0.9310005576752793,0.4831388171922343,0.09927336999214453,64.5,13.0,119.76900672640184,32.79302884071326
SPECTF,custom_hermite,0.027534040360466132,0.010309302771297279,0.21782178217821782,0.13613861386138612,1.3166622403724944e-05,3.288988915148654e-05,0.19801980198019803,0.17079207920792075,7.430249002276552,2.666411491911873,0.2772004287745854,0.07997414238070633,0.5505382593468442,0.10297408081316861,0.6854160705862737,0.06713706637039785,0.2772004287745854,0.07997414238070633,0.6854160705862737,0.06713706637039785,0.42471664235214907,0.014047244978117046,0.4490320951632813,0.028205308046235056,0.6762115445942987,0.004676517473817032,1.0001044855719754,0.00015894961506712768,7.395037669382313e-05,6.658824344564132e-05,0.417910447761194,0.01001571091908876,56.0,1.75,35.83607877550574,23.906997670464477
SPECTF,linear,0.1202505024420957,0.01860053958324416,0.009900990099009901,0.0,0.07019111081248665,0.015158191541975119,0.009900990099009901,0.0,5.962390359427799,0.37500247207789794,0.36150231658645576,0.026012356285990523,0.5842671324707327,0.025777676246395376,0.6855372715192949,0.02751638071709195,0.36150231658645576,0.026012356285990523,0.6855372715192949,0.02751638071709195,1.0,0.0,1.0,0.0,0.8778213317095916,0.007965305000977918,1.1252964477279201,0.7430040407803762,0.3018423415453674,1.6607530541205897,0.46815733363258893,0.024267758949612805,62.5,3.25,43.96957270241825,0.00524212100296495
SPECTF,poly,0.14396415432259851,0.032359958735123956,0.009900990099009901,0.0,0.012961334124600722,0.015633027561690813,0.009900990099009901,0.0,7.427728950600269,0.8988851410815801,0.3313855609105749,0.024867306835402003,0.5012351422023745,0.03523248784340527,0.5906996507997562,0.028673057186714423,0.3313855609105749,0.024867306835402003,0.5906996507997562,0.028673057186714423,0.8593984962406014,0.08334923128717309,0.8672932330827068,0.08372797665806309,0.9227848790892312,0.036688665032117984,1.0161752620156603,0.5124290011004842,0.06435137741875921,1.099637148812486,0.46066659185276626,0.042910447761194015,61.5,5.5,125.58160352511266,10.206493563016409
SPECTF,rbf,0.1622758063896855,0.023565623650514567,0.009900990099009901,0.0,0.006212062887198224,0.001628394699245893,0.009900990099009901,0.0,54.07959347148149,63.204564610809506,0.08079535530507403,0.0729633916472131,0.16783471924544213,0.12716664993972016,0.22463934132879693,0.16337082822355567,0.08079535530507403,0.0729633916472131,0.22463934132879693,0.16337082822355567,1.0,0.0,1.0,0.0,0.9667617028347177,0.03997175600219294,1.0387570666376331,0.1490205744030788,0.7979104169874685,0.6524577839654254,0.7002019975311413,0.4175457299966334,93.5,56.25,132.85839484634567,0.6594640222607495
australian,custom_alsalam,0.1701774922378747,0.00807238593166043,0.009900990099009901,0.0,13.712735754797091,60.4490156813257,0.009900990099009901,0.0,75.87611215457213,6.252523643458716,0.05364218545426398,0.0062765748457021125,0.13026844515872193,0.004846004574573015,0.1860352398877612,0.007350215649812697,0.05364218545426398,0.0062765748457021125,0.1860352398877612,0.007350215649812697,0.8695652173913044,0.02086956521739136,0.8417391304347827,0.038188405797101366,1.0178274573937909,0.008672492005488808,1.1332638533737271,0.1732629406465127,1.165024596113731,0.22433868288622527,0.6,0.06376811594202891,207.0,22.0,344.9453749081955,0.6180522903912333
australian,custom_gegen,0.3046009570142994,0.2538012779753005,0.009900990099009901,0.0,1.1295330847084255,1740.0232604514083,0.009900990099009901,0.0,24.33837174494994,18.07360568292294,0.128995126650219,0.04540645911083166,0.2937973703821236,0.11433883844814674,0.37835287693307573,0.14968779701837603,0.128995126650219,0.04540645911083166,0.37835287693307573,0.14968779701837603,0.8028985507246376,0.44101449275362314,0.8049275362318842,0.4831884057971015,1.0527999699352861,0.09387370327352218,1.1138733045987057,0.20970620980152832,1.1529588261042378,0.2571891911350217,0.4536231884057971,0.18695652173913047,156.5,64.5,343.43251450880655,21.474928070843077
australian,custom_hermite,0.30759810126338916,0.019898296310662422,0.009900990099009901,0.0,9.947711567398935e-05,8.77361678267227e-05,0.009900990099009901,0.0,14.389114537253473,5.332383433819567,0.18339465024349938,0.03473105362043721,0.3943876490732726,0.08217128498043624,0.5001350579235688,0.09502499400485087,0.18339465024349938,0.03473105362043721,0.5001350579235688,0.09502499400485087,0.6808695652173913,0.014202898550724652,0.671304347826087,0.04094202898550725,1.1304260321132351,0.0230762951717447,0.9564677659415122,0.13164370844191442,0.9396076917623126,0.8450004511649639,0.6681159420289855,0.30869565217391304,230.5,106.5,84.58232987218818,59.69265913340915
australian,linear,0.3796034604605816,0.015870677395061095,0.009900990099009901,0.0,0.40598840086501786,0.018888614621241695,0.009900990099009901,0.0,5.505902403812412,0.05362549708622222,0.3018254950461901,0.0038608870040567345,0.6717930210015403,0.008756672403364196,0.8522903181820325,0.004371310185641297,0.3018254950461901,0.0038608870040567345,0.8522903181820325,0.004371310185641297,1.0,0.0,1.0,0.0,1.1978111051411473,0.011472060240176107,1.0938152727012798,0.33650242448221257,1.1152183071420987,0.5181233024284753,0.32608695652173914,0.07246376811594202,112.5,25.0,13.999316209768665,0.0002125807577613159
