kernel,feature,metric,n,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_r,spearman_p,spearman_ci_low,spearman_ci_high,spearman_p_fdr
custom_hermite,n_samples,accuracy_mean,20,0.1618368645555598,0.4954479930794377,-0.2730752441636837,0.4309137622389053,-0.0631578947368421,0.7913733978200618,-0.47798515685211085,0.38050869857050595,0.8700037043301221
custom_hermite,n_samples,f1_mean,20,0.18551061154846665,0.43360199235366514,-0.26083812410282914,0.5057798708642052,0.10075187969924812,0.6725564354857818,-0.38858819639896003,0.49386435816120844,0.9665824203168665
custom_hermite,n_samples,training_time_mean,20,0.7604776543807924,9.937378932918926e-05,0.6577333847338893,0.9250926918692306,0.900751879699248,6.159925386328217e-08,0.7307939142797136,0.9709344162869226,8.623895540859504e-07
custom_hermite,n_samples,support_vector_prop_mean,20,-0.18914832641231305,0.42447641580862994,-0.5409893949786517,0.19519015829911585,-0.021052631578947364,0.9297994024457079,-0.5001388221274929,0.46941572559877426,0.9297994024457079
custom_hermite,n_features,accuracy_mean,20,-0.32198694279475426,0.16622048707344733,-0.6872160561648687,0.15491673138371262,-0.2595262032663586,0.2691715308451361,-0.6705948569664876,0.25430731766590736,0.8700037043301221
custom_hermite,n_features,f1_mean,20,-0.40624721907503397,0.07550609585058064,-0.7295129903074166,0.0003695510522262514,-0.3070557114226975,0.18788626499531297,-0.7190557863207281,0.18291567378914889,0.9665824203168665
custom_hermite,n_features,training_time_mean,20,0.1924412390750845,0.41630511884867105,-0.2122179044509434,0.5627872422094851,0.09279570640047123,0.6971909766453368,-0.30832126339768773,0.46965063781733446,0.6971909766453368
custom_hermite,n_features,support_vector_prop_mean,20,0.2735722042875086,0.2431670022934477,-0.11315672557000099,0.6395851506573464,0.2949847252242622,0.2067356804278764,-0.1555988760738571,0.624533877179618,0.5435967660578197
custom_hermite,n_classes,accuracy_mean,20,-0.5144082925637307,0.020311103711521214,-0.8906537357627633,0.220357045205615,-0.13247286276976783,0.5776958373796086,-0.5916903316654507,0.40341590558516527,0.8700037043301221
custom_hermite,n_classes,f1_mean,20,-0.4282140417865232,0.05961541473512002,-0.8504076441454752,0.3212440062187755,-0.045923925760186175,0.8475427733084628,-0.588458436236099,0.5295743482186207,0.9665824203168665
custom_hermite,n_classes,training_time_mean,20,-0.15800388814795338,0.5058488698729742,-0.3646029096846566,0.18733296030029725,-0.16161689257911677,0.4960420547268394,-0.5467051257688771,0.2565488037526148,0.629377576834701
custom_hermite,n_classes,support_vector_prop_mean,20,0.48929274182729104,0.02855792412753728,-0.11392558980800313,0.8341368564452184,0.2958560601858149,0.20533461263779035,-0.2393370869518661,0.7146015251582621,0.5435967660578197
custom_hermite,samples_per_feature_ratio,accuracy_mean,20,0.09478302340116125,0.691009154825124,-0.36539029355649427,0.3477550347829165,0.12932330827067667,0.5868527244899822,-0.28646038485132214,0.5135238891579131,0.8700037043301221
custom_hermite,samples_per_feature_ratio,f1_mean,20,0.1440457169724004,0.5445902130038403,-0.28759956359824373,0.39819256301979733,0.2601503759398496,0.26798033372196073,-0.23680982285352264,0.6706183027998617,0.9665824203168665
custom_hermite,samples_per_feature_ratio,training_time_mean,20,0.03765765095841195,0.8747550501428645,-0.11834044871539211,0.535758423375125,0.4661654135338345,0.03829049887630508,0.09950006245604945,0.7503898713942759,0.10721339685365423
custom_hermite,samples_per_feature_ratio,support_vector_prop_mean,20,-0.18397657460976183,0.43748109893968756,-0.49132181163895716,0.2510486507637306,-0.2150375939849624,0.36257388702455107,-0.6698018916381799,0.25476872565744996,0.5435967660578197
custom_hermite,overall_mean,accuracy_mean,20,0.09762828143144117,0.6821913516001985,-0.13646301905028016,0.43938476898036166,0.10526315789473684,0.6587277693915812,-0.32049690771713824,0.5215592815476842,0.8700037043301221
custom_hermite,overall_mean,f1_mean,20,0.07006671889099943,0.7691153050888417,-0.20985655698754668,0.42015241646047513,0.09323308270676692,0.6958288642370747,-0.39224622652379304,0.5269173391158725,0.9665824203168665
custom_hermite,overall_mean,training_time_mean,20,0.03235636214024633,0.8922801537911451,-0.3460825521731131,0.5945569905850132,-0.2541353383458646,0.2795976355152773,-0.6913075487061807,0.2919666128400743,0.4349296552459869
custom_hermite,overall_mean,support_vector_prop_mean,20,-0.16724840219377052,0.4809435725318849,-0.48876917986599433,0.0484912578842123,-0.26165413533834586,0.2651241095103529,-0.5569099217614069,0.11620891943219475,0.5435967660578197
