kernel,feature,metric,n,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_r,spearman_p,spearman_ci_low,spearman_ci_high,spearman_p_fdr
rbf,n_samples,accuracy_mean,20,0.15632434637789167,0.5104391755399691,-0.3524287979827695,0.4956608691235431,-0.03458646616541353,0.8849015088305833,-0.5242994019421768,0.4834429915594294,0.9398091995407436
rbf,n_samples,f1_mean,20,0.1875277606997962,0.42852903066974746,-0.3256154873450698,0.5196940719756935,0.09323308270676692,0.6958288642370747,-0.32303455649055046,0.6030377775042247,0.9807220162046253
rbf,n_samples,training_time_mean,20,0.9164082294533296,1.3931331289575707e-08,0.8468215259786407,0.9714233009849383,0.9744360902255638,4.0365222137155066e-13,0.9088652171506586,0.9954566803959825,5.651131099201709e-12
rbf,n_samples,support_vector_prop_mean,20,-0.46923327953630606,0.036868998725907765,-0.8240363076526042,0.01809169811626799,-0.58796992481203,0.0064001708761953924,-0.8621263556739874,-0.15249810749432285,0.04480119613336775
rbf,n_features,accuracy_mean,20,-0.2137748000670743,0.3654670709998581,-0.6409076352738756,0.38656945076821403,-0.05431943789295878,0.8200742195183617,-0.5550018133244858,0.476524017486372,0.9398091995407436
rbf,n_features,f1_mean,20,-0.2589577672797324,0.2702592418905223,-0.6571583098301514,0.42446715246874717,-0.10713000251111315,0.6530359719013021,-0.5994901867869249,0.42908145062705005,0.9807220162046253
rbf,n_features,training_time_mean,20,-0.1287202213269379,0.58861309593972,-0.49083958265521827,0.28255529237638904,-0.31158233124711077,0.18112685952476404,-0.6640156068922011,0.09814795388689758,0.42262933889111604
rbf,n_features,support_vector_prop_mean,20,0.46121614176753384,0.04067298983188926,0.057919745011645256,0.76493595856148,0.5009459272350644,0.02445499849270184,0.05139118268063062,0.7696456905178171,0.11412332629927525
rbf,n_classes,accuracy_mean,20,-0.5860827667744832,0.006614666126696181,-0.8902432539909613,0.09455248143137097,-0.2843750787457683,0.2243046695889991,-0.6827593590913277,0.229726440671063,0.8886203993037372
rbf,n_classes,f1_mean,20,-0.551310641401714,0.011746675754630405,-0.8754076891435711,0.09136610527773072,-0.19782614173618662,0.4031273037791041,-0.6394040439749976,0.32273761508989834,0.9807220162046253
rbf,n_classes,training_time_mean,20,-0.14512837672250298,0.5415378479100338,-0.3642621173832911,0.29965424301664595,-0.050339687852511784,0.8330720761994627,-0.4785782332542159,0.3197563922589025,0.8330720761994627
rbf,n_classes,support_vector_prop_mean,20,0.16977933809717433,0.47423332403320284,-0.3237554725516498,0.57500886646161,0.020312505624697736,0.9322618470852375,-0.49001903764921206,0.5253083007435034,0.9322618470852374
rbf,samples_per_feature_ratio,accuracy_mean,20,0.17253715002309072,0.46697546566813464,-0.545820472755346,0.4625459214477959,-0.018045112781954885,0.9398091995407436,-0.5077507598784194,0.47296711286420107,0.9398091995407436
rbf,samples_per_feature_ratio,f1_mean,20,0.1935092213743562,0.413673289267849,-0.40646099887425086,0.5102192305811943,0.09172932330827067,0.7005157258604466,-0.4632851724404092,0.5441747744982096,0.9807220162046253
rbf,samples_per_feature_ratio,training_time_mean,20,0.4917887863904725,0.02763655338574144,0.24190176052365914,0.8651359729542838,0.7774436090225564,5.4882854481497394e-05,0.509563177413076,0.9037147917503144,0.00038417998137048174
rbf,samples_per_feature_ratio,support_vector_prop_mean,20,-0.6341912642710282,0.00267285449074858,-0.8315861387174247,-0.15867321213968816,-0.6766917293233082,0.0010509401983731879,-0.8692967896364613,-0.33906922276197093,0.01471316277722463
rbf,overall_mean,accuracy_mean,20,0.03448175226163102,0.8852477716646114,-0.2982455021721286,0.36499502291273056,0.06616541353383458,0.7816639121085742,-0.41865192483405206,0.47847425980261404,0.9398091995407436
rbf,overall_mean,f1_mean,20,0.038436205676630655,0.872185817129943,-0.27277086935962164,0.31576903514288446,-0.003007518796992481,0.9899597295184989,-0.44678575827219763,0.420797605120088,0.9899597295184989
rbf,overall_mean,training_time_mean,20,0.491111353343335,0.02788426881887366,-0.45171396579388884,0.8412687893749157,-0.16992481203007515,0.47384906489411216,-0.6572691776331195,0.40738355282804406,0.6049451965915906
rbf,overall_mean,support_vector_prop_mean,20,-0.16615379954155002,0.48386024153116125,-0.4632322851433404,0.15845752932284307,-0.03909774436090225,0.8700037043301221,-0.47665773277744683,0.37917864155350867,0.9322618470852374
rbf,overall_std,accuracy_mean,20,0.048343262504283585,0.839608355190257,-0.2114371796085006,0.49154718834242733,0.025563909774436087,0.9148041683144317,-0.4308783472673093,0.4799284384052973,0.9398091995407436
rbf,overall_std,f1_mean,20,0.05329972169151478,0.8234004480082993,-0.19460868059299039,0.4803858522965133,-0.019548872180451125,0.9348031235214638,-0.5163125973015049,0.4750763234892201,0.9899597295184989
rbf,overall_std,training_time_mean,20,0.4522123404500626,0.04529972565355454,-0.37261550363375423,0.8295533269384328,-0.1533834586466165,0.5185244542213634,-0.6315463076060872,0.2985161550916534,0.6049451965915906
rbf,overall_std,support_vector_prop_mean,20,-0.1716590230323038,0.4692803412048955,-0.4495064266820726,0.05169047267191686,0.02706766917293233,0.9098116651774512,-0.5146508747663335,0.4664383447037532,0.9322618470852374
rbf,mean_feature_mean,accuracy_mean,20,0.03448175226163102,0.8852477716646114,-0.2775043894740539,0.3504262825174178,0.06616541353383458,0.7816639121085742,-0.39369171562549266,0.46627897278137537,0.9398091995407436
rbf,mean_feature_mean,f1_mean,20,0.038436205676630655,0.872185817129943,-0.3095353296431247,0.3272357821837553,-0.003007518796992481,0.9899597295184989,-0.4410028399994432,0.3896049427517749,0.9899597295184989
rbf,mean_feature_mean,training_time_mean,20,0.491111353343335,0.02788426881887366,-0.4658846273861182,0.8272361005954337,-0.16992481203007515,0.47384906489411216,-0.6819673024994807,0.35724033358605,0.6049451965915906
rbf,mean_feature_mean,support_vector_prop_mean,20,-0.16615379954155002,0.48386024153116125,-0.4617415285850879,0.2144218863796789,-0.03909774436090225,0.8700037043301221,-0.5076276068671506,0.3893768223472583,0.9322618470852374
rbf,mean_feature_std,accuracy_mean,20,0.001586404521831392,0.9947038709110055,-0.2758670850100352,0.4555503632196143,0.04060150375939849,0.8650468790077722,-0.43089740894278106,0.514535471870513,0.9398091995407436
rbf,mean_feature_std,f1_mean,20,0.005995427725621632,0.9799863600704072,-0.20729700090212036,0.4711849357594996,-0.022556390977443608,0.9247982163788796,-0.5262615660421004,0.4129887196452774,0.9899597295184989
rbf,mean_feature_std,training_time_mean,20,0.46871741904153313,0.037105108311371184,-0.4195641695933297,0.8455895636516436,-0.13533834586466165,0.5694186911507699,-0.5916799424715123,0.4028473804100223,0.6132201289315984
